train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/policy_loss,time/iterations,rollout/ep_rew_mean,train/std,time/fps
99,0.0007,-1.19E-07,-15.66643047,24,6,500,8628.22168,-1222.193604,100,-501.4163,1.005930781,74
199,0.0007,-5.96E-07,-15.64976215,24,13,1000,3920.688965,-849.4448242,200,-490.0188293,1.0041219,73
299,0.0007,0.312632799,-15.70178509,24,20,1500,259.4186401,-88.95011902,300,-477.2850161,1.008772254,73
399,0.0007,0.184866667,-15.699049,24,27,2000,2648.523926,35.37703323,400,-474.1844217,1.00835824,72
499,0.0007,-1.19E-07,-15.75698662,24,34,2500,16434.08594,-1848.53186,500,-475.17708,1.013798833,72
599,0.0007,-1.19E-07,-15.77243328,24,41,3000,15605.04102,-1804.725342,600,-473.03702,1.015279174,72
699,0.0007,6.44E-06,-15.78090191,24,48,3500,6831.862305,-1108.993408,700,-480.72785,1.01632297,72
799,0.0007,-1.19E-07,-15.77776623,24,57,4000,4396.241211,-938.9005127,800,-487.97316,1.015825391,70
899,0.0007,0.861071274,-15.79792213,24,65,4500,403.1381531,-265.4564819,900,-495.39598,1.01763761,68
999,0.0007,0.58732146,-15.80610943,24,74,5000,854.9651489,-48.17317963,1000,-502.92656,1.018425703,66
1099,0.0007,-1.19E-07,-15.83247662,24,84,5500,18888.34961,-2065.69873,1100,-507.95529,1.020794392,65
1199,0.0007,1.19E-07,-15.83949852,24,93,6000,11720.1543,-1657.307983,1200,-500.28408,1.021438479,64
1299,0.0007,-1.19E-07,-15.83475018,24,102,6500,5262.600586,-1013.749817,1300,-476.01687,1.021338224,63
1399,0.0007,1.19E-07,-15.79858971,24,112,7000,2776.096436,-814.6246948,1400,-437.4884,1.017668247,62
1499,0.0007,0.754541487,-15.78984261,24,121,7500,91.61143494,-46.60719681,1500,-392.73856,1.016884327,61
1599,0.0007,0.750427872,-15.80826378,24,131,8000,369.3327332,69.18731689,1600,-352.08733,1.018419385,60
1699,0.0007,0,-15.81392193,24,140,8500,9325.607422,-1334.263916,1700,-324.83346,1.019393682,60
1799,0.0007,-1.19E-07,-15.86179161,24,150,9000,7961.396973,-1091.504761,1800,-308.92142,1.024224162,59
1899,0.0007,0,-15.85179329,24,160,9500,5548.731934,-1189.941528,1900,-305.84823,1.022610545,59
1999,0.0007,0,-15.87562561,24,169,10000,2916.240967,-831.7954102,2000,-314.34696,1.024873257,58
2099,0.0007,0.839166954,-15.89419842,24,179,10500,423.9229126,-290.7918091,2100,-335.11048,1.026921511,58
2199,0.0007,0.268571496,-15.90524483,24,188,11000,654.5003662,272.1248169,2200,-354.93093,1.027860999,58
2299,0.0007,0,-15.92592621,24,198,11500,15579.80273,-1981.890991,2300,-385.929,1.029522896,58
2399,0.0007,2.62E-06,-15.96995735,24,207,12000,11015.70801,-1575.816406,2400,-418.89598,1.033830166,57
2499,0.0007,0,-15.96076775,24,217,12500,6255.281738,-1119.625244,2500,-424.39863,1.033042908,57
2599,0.0007,0,-15.97183514,24,227,13000,2939.736084,-828.2095947,2600,-416.71044,1.034005046,57
2699,0.0007,0.728956699,-15.95931053,24,236,13500,145.6148071,-111.0581818,2700,-414.49684,1.032893658,57
2799,0.0007,-1.698094845,-16.01708794,24,246,14000,1554.348877,199.4563751,2800,-409.38548,1.038293719,56
2899,0.0007,0,-16.05421638,24,255,14500,10411.80957,-1842.515991,2900,-395.88388,1.04129076,56
2999,0.0007,0,-16.08656502,24,265,15000,10863.14941,-1722.048096,3000,-393.37269,1.044539809,56
3099,0.0007,-1.19E-07,-16.05479622,24,275,15500,8492.119141,-1413.939819,3100,-402.42595,1.041940093,56
3199,0.0007,0,-16.08181953,24,284,16000,3135.961914,-874.3806763,3200,-420.20009,1.044626713,56
3299,0.0007,0.61902222,-16.10098267,24,293,16500,350.5952148,-203.5758514,3300,-437.31781,1.046596885,56
3399,0.0007,-2.353064299,-16.08710098,24,303,17000,2292.293701,180.8434906,3400,-465.19479,1.045267224,56
3499,0.0007,0,-16.08906174,24,312,17500,21574.28711,-2197.975342,3500,-494.70938,1.045373917,55
3599,0.0007,-1.19E-07,-16.09387589,24,322,18000,14747.35645,-1692.715576,3600,-519.2894,1.046101093,55
3699,0.0007,0,-16.13912582,24,332,18500,10601.2002,-1655.870117,3700,-532.12815,1.049776435,55
3799,0.0007,0,-16.13422585,24,341,19000,4460.10791,-901.1942139,3800,-546.76605,1.04992187,55
3899,0.0007,0.471850038,-16.14349365,24,351,19500,405.2991943,-220.5936737,3900,-557.57445,1.050642848,55
3999,0.0007,-1.3094666,-16.16452217,24,360,20000,2788.678223,682.621521,4000,-564.34199,1.052508116,55
4099,0.0007,-2.38E-07,-16.19450188,24,370,20500,22179.86328,-2441.32666,4100,-569.32098,1.055166602,55
4199,0.0007,0,-16.19176674,24,379,21000,16533.88672,-1740.552002,4200,-571.55477,1.055513978,55
4299,0.0007,0,-16.19848442,24,389,21500,11083.22461,-1525.879639,4300,-571.84344,1.05603981,55
4399,0.0007,0,-16.19888306,24,399,22000,4813.282227,-1078.539795,4400,-572.42413,1.056041121,55
4499,0.0007,0.073162317,-16.18335915,24,408,22500,473.8598633,-183.7127075,4500,-570.17709,1.054868698,55
4599,0.0007,-2.920786142,-16.17752838,24,418,23000,4966.72998,408.0941467,4600,-567.1247,1.054191589,54
4699,0.0007,0,-16.13347244,24,427,23500,22724.13281,-2025.869141,4700,-562.53549,1.050397754,54
4799,0.0007,0,-16.19252586,24,437,24000,17571.99609,-1944.803955,4800,-564.04487,1.055721045,54
4899,0.0007,0,-16.14990234,24,446,24500,11641.82813,-1597.654663,4900,-567.94064,1.051631093,54
