time/total_timesteps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/policy_loss,train/value_loss,train/n_updates,train/explained_variance,train/std,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
500,0.0007,-15.732826232910156,6,-1414.9151611328125,11284.2548828125,99,0.0,1.011934757232666,80,-535.04035,24.0,100
1000,0.0007,-15.786140441894531,12,-1047.3272705078125,5694.71240234375,199,-1.1920928955078125e-07,1.0167441368103027,78,-537.638756097561,24.0,200
1500,0.0007,-15.79594612121582,19,-180.2938232421875,344.1064453125,299,0.37888652086257935,1.0176280736923218,78,-539.9181612903226,24.0,300
2000,0.0007,-15.844034194946289,25,231.08145141601562,2623.109130859375,399,0.21731781959533691,1.0221354961395264,78,-534.188313253012,24.0,400
2500,0.0007,-15.897831916809082,31,-2285.35302734375,24467.1796875,499,-4.76837158203125e-07,1.0269888639450073,78,-532.2992399999999,24.0,500
3000,0.0007,-15.892354011535645,38,-1991.7435302734375,16721.0390625,599,0.0,1.0263530015945435,78,-531.9486400000001,24.0,600
3500,0.0007,-15.9042387008667,45,-1346.073486328125,10354.5732421875,699,0.0,1.0280406475067139,77,-529.21717,24.0,700
4000,0.0007,-15.931726455688477,51,-1174.568115234375,5815.5390625,799,0.0,1.0299718379974365,77,-527.86258,24.0,800
4500,0.0007,-15.947044372558594,58,-342.52825927734375,447.4071350097656,899,0.8443603366613388,1.0314933061599731,77,-535.4252299999999,24.0,900
5000,0.0007,-15.932827949523926,64,-124.4388656616211,902.8990478515625,999,0.6055587232112885,1.0301655530929565,77,-541.5900399999999,24.0,1000
5500,0.0007,-15.9443359375,71,-2426.22509765625,24837.865234375,1099,-1.1920928955078125e-07,1.0312185287475586,77,-550.2032800000001,24.0,1100
6000,0.0007,-15.928593635559082,77,-1906.458740234375,19072.05078125,1199,5.960464477539063e-08,1.0301768779754639,77,-564.16728,24.0,1200
6500,0.0007,-15.921785354614258,83,-1594.638916015625,12573.85546875,1299,0.0,1.029493808746338,77,-576.84293,24.0,1300
7000,0.0007,-15.983572006225586,90,-1245.140380859375,6594.88427734375,1399,0.0,1.0349836349487305,77,-588.5143300000001,24.0,1400
7500,0.0007,-15.995429992675781,96,-346.27252197265625,496.5545349121094,1499,0.6532770097255707,1.0362364053726196,77,-597.37563,24.0,1500
8000,0.0007,-16.029338836669922,103,87.54732513427734,442.86248779296875,1599,0.7150602638721466,1.039488673210144,77,-602.88165,24.0,1600
8500,0.0007,-16.059741973876953,109,-2392.61669921875,24828.205078125,1699,0.0,1.0422859191894531,77,-603.3947,24.0,1700
9000,0.0007,-16.077245712280273,115,-1983.0025634765625,18140.94921875,1799,0.0,1.0440527200698853,77,-602.1204400000001,24.0,1800
9500,0.0007,-16.137819290161133,122,-1535.010009765625,12111.0244140625,1899,0.0,1.0499656200408936,77,-599.68512,24.0,1900
10000,0.0007,-16.163288116455078,128,-1185.022705078125,5488.0068359375,1999,0.0,1.052006483078003,77,-594.0920000000001,24.0,2000
10500,0.0007,-16.165653228759766,135,-345.87860107421875,492.921875,2099,0.728197455406189,1.0525590181350708,77,-587.94695,24.0,2100
11000,0.0007,-16.171199798583984,141,-18.617000579833984,445.98370361328125,2199,0.468824565410614,1.0532891750335693,77,-582.4859700000001,24.0,2200
11500,0.0007,-16.16398048400879,147,-2205.00830078125,23372.58984375,2299,4.8279762268066406e-05,1.0526678562164307,77,-577.8497299999999,24.0,2300
12000,0.0007,-16.183507919311523,153,-2021.494384765625,17750.94921875,2399,-1.1920928955078125e-07,1.0545066595077515,78,-574.64149,24.0,2400
12500,0.0007,-16.216487884521484,159,-1688.851806640625,11872.2880859375,2499,-1.1920928955078125e-07,1.0573875904083252,78,-577.73305,24.0,2500
13000,0.0007,-16.251174926757812,165,-1314.646728515625,6851.3046875,2599,1.1920928955078125e-07,1.0606967210769653,78,-585.2629000000001,24.0,2600
13500,0.0007,-16.274749755859375,172,-474.6465759277344,947.6720581054688,2699,0.4325184226036072,1.0631372928619385,78,-594.60325,24.0,2700
14000,0.0007,-16.28325653076172,178,248.2081756591797,810.63818359375,2799,-0.0342562198638916,1.06454598903656,78,-605.00511,24.0,2800
14500,0.0007,-16.306564331054688,184,-2491.146484375,26789.00390625,2899,0.0,1.0662999153137207,78,-613.3802900000001,24.0,2900
15000,0.0007,-16.28818130493164,190,-2043.251953125,19648.791015625,2999,0.0,1.0647335052490234,78,-620.06585,24.0,3000
15500,0.0007,-16.294647216796875,196,-1560.3560791015625,13140.8173828125,3099,0.0,1.0657660961151123,78,-623.37812,24.0,3100
16000,0.0007,-16.2993221282959,202,-1188.640869140625,6643.81787109375,3199,0.0,1.065850019454956,78,-625.39858,24.0,3200
16500,0.0007,-16.31107521057129,208,-522.0993041992188,1045.434326171875,3299,0.3697848916053772,1.0668877363204956,78,-628.94745,24.0,3300
17000,0.0007,-16.286142349243164,215,317.4562072753906,1401.500244140625,3399,-0.6450001001358032,1.0645830631256104,79,-633.11765,24.0,3400
17500,0.0007,-16.292221069335938,221,-2221.246826171875,27533.90625,3499,0.0,1.065656065940857,79,-636.74237,24.0,3500
18000,0.0007,-16.312488555908203,227,-2029.484130859375,19952.369140625,3599,0.0,1.067464828491211,79,-639.2297700000001,24.0,3600
18500,0.0007,-16.298860549926758,233,-1716.3441162109375,13254.4501953125,3699,0.0,1.0662819147109985,79,-640.85158,24.0,3700
19000,0.0007,-16.31644058227539,239,-1191.934326171875,6597.02197265625,3799,0.0,1.0679714679718018,79,-641.12139,24.0,3800
19500,0.0007,-16.313947677612305,246,-360.06878662109375,665.2601318359375,3899,0.7529861181974411,1.0676841735839844,79,-639.98869,24.0,3900
20000,0.0007,-16.359529495239258,252,548.8218994140625,2495.39892578125,3999,-0.9208605289459229,1.072009563446045,79,-639.33768,24.0,4000
20500,0.0007,-16.338523864746094,258,-2516.127685546875,27130.505859375,4099,-1.3113021850585938e-06,1.0700923204421997,79,-637.90985,24.0,4100
21000,0.0007,-16.339200973510742,264,-2163.679443359375,19755.20703125,4199,0.0,1.070130467414856,79,-636.07277,24.0,4200
21500,0.0007,-16.339359283447266,270,-1911.347412109375,12871.958984375,4299,-1.1920928955078125e-07,1.0696690082550049,79,-635.86942,24.0,4300
22000,0.0007,-16.368803024291992,276,-1257.2239990234375,6413.48193359375,4399,3.2782554626464844e-06,1.072900414466858,79,-631.87633,24.0,4400
22500,0.0007,-16.390138626098633,282,-279.18353271484375,419.31097412109375,4499,0.8295994699001312,1.0752760171890259,79,-624.9245300000001,24.0,4500
23000,0.0007,-16.363807678222656,289,598.3883056640625,3832.610595703125,4599,-1.885169267654419,1.073035717010498,79,-619.6429700000001,24.0,4600
23500,0.0007,-16.39818000793457,295,-2600.62744140625,23425.48046875,4699,0.0,1.0757590532302856,79,-614.42554,24.0,4700
24000,0.0007,-16.385982513427734,301,-2050.535888671875,19167.541015625,4799,2.1457672119140625e-06,1.0749720335006714,79,-611.30436,24.0,4800
24500,0.0007,-16.427827835083008,307,-1726.964111328125,12294.1787109375,4899,0.004288375377655029,1.078857421875,79,-612.84229,24.0,4900
25000,0.0007,-16.448923110961914,313,-1161.9512939453125,6459.375,4999,1.1920928955078125e-07,1.0812634229660034,79,-616.85754,24.0,5000
25500,0.0007,-16.4127197265625,320,-325.4468688964844,401.4165954589844,5099,0.7089198231697083,1.07691490650177,79,-618.99701,24.0,5100
26000,0.0007,-16.397918701171875,326,656.7816162109375,4959.5673828125,5199,-1.42964768409729,1.0757063627243042,79,-618.9091599999999,24.0,5200
26500,0.0007,-16.389057159423828,332,-2113.8125,22799.537109375,5299,0.07563185691833496,1.0748753547668457,79,-616.35249,24.0,5300
27000,0.0007,-16.426897048950195,338,-1809.171630859375,17809.849609375,5399,2.384185791015625e-07,1.0792317390441895,79,-610.65104,24.0,5400
27500,0.0007,-16.454391479492188,344,-1613.1474609375,11988.759765625,5499,0.0,1.0815311670303345,79,-606.42823,24.0,5500
28000,0.0007,-16.477054595947266,350,-1069.3289794921875,5541.4833984375,5599,-1.1920928955078125e-07,1.0840601921081543,79,-602.88839,24.0,5600
28500,0.0007,-16.484466552734375,356,-216.60482788085938,298.63201904296875,5699,0.8224937468767166,1.0852450132369995,79,-599.1759,24.0,5700
29000,0.0007,-16.536394119262695,363,797.780517578125,6670.67041015625,5799,-1.5032455921173096,1.089871883392334,79,-589.9883400000001,24.0,5800
29500,0.0007,-16.54553985595703,369,-2040.9849853515625,20851.6875,5899,0.00191420316696167,1.0910369157791138,79,-588.0527000000001,24.0,5900
