train/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/delta_std,train/step_size,train/learning_rate,time/fps,rollout/return_std
0,384,-32471.10406,24,6,0.05,1.73E-07,0.02,56,14487.31934
1,768,-30636.70969,24,13,0.05,1.73E-07,0.02,56,14476.6123
2,1152,-28608.87713,24,20,0.05,1.77E-07,0.02,56,14098.07031
3,1536,-21219.98869,24,27,0.05,2.23E-07,0.02,56,11204.17676
4,1920,-23596.21694,24,34,0.05,2.01E-07,0.02,56,12411.53516
5,2304,-17770.64281,24,40,0.05,2.40E-07,0.02,56,10420.19336
6,2688,-22759.571,24,47,0.05,1.74E-07,0.02,56,14389.16504
7,3072,-16469.78212,24,54,0.05,2.57E-07,0.02,55,9728.402344
8,3456,-18605.11956,24,61,0.05,2.01E-07,0.02,55,12422.58789
9,3840,-11037.81019,24,68,0.05,2.72E-07,0.02,55,9179.306641
10,4224,-13500.99744,24,75,0.05,2.15E-07,0.02,55,11610.20898
11,4608,-11024.60894,24,82,0.05,2.16E-07,0.02,55,11575.66602
12,4992,-7260.239938,24,89,0.05,2.77E-07,0.02,55,9034.300781
13,5376,-6715.769875,24,96,0.05,3.15E-07,0.02,55,7945.375
14,5760,-3076.899375,24,103,0.05,4.99E-07,0.02,55,5008.484375
15,6144,-3852.0615,24,110,0.05,3.54E-07,0.02,55,7061.288086
16,6528,-3383.359375,24,117,0.05,3.71E-07,0.02,55,6732.400391
17,6912,-1795.91875,24,124,0.05,6.63E-07,0.02,55,3772.232422
18,7296,-1831.98225,24,131,0.05,4.92E-07,0.02,55,5077.504883
19,7680,-4001.91875,24,138,0.05,2.70E-07,0.02,55,9262.9375
20,8064,-1016.630125,24,146,0.05,7.97E-07,0.02,55,3135.738281
21,8448,-935.3209375,24,153,0.05,6.72E-07,0.02,55,3721.637451
22,8832,-378.9524375,24,160,0.05,2.21E-06,0.02,55,1132.729736
23,9216,-480.2128125,24,166,0.05,2.34E-06,0.02,55,1070.088745
24,9600,166.177875,24,173,0.05,4.94E-06,0.02,55,506.1383667
25,9984,-739.6161875,24,180,0.05,5.45E-07,0.02,55,4591.309082
26,10368,-17.9315,24,187,0.05,3.43E-06,0.02,55,728.2911377
27,10752,-183.4580625,24,194,0.05,1.90E-06,0.02,55,1317.728149
28,11136,212.009,24,202,0.05,4.98E-06,0.02,55,501.9544678
29,11520,320.2614375,24,209,0.05,5.35E-06,0.02,55,467.5380859
30,11904,102.300875,24,216,0.05,2.64E-06,0.02,55,945.4532471
31,12288,454.39575,24,223,0.05,1.11E-05,0.02,55,225.9913788
32,12672,510.0878125,24,230,0.05,3.67E-05,0.02,55,68.15221405
33,13056,335.197375,24,236,0.05,4.35E-06,0.02,55,574.1008911
34,13440,183.2024375,24,243,0.05,2.02E-06,0.02,55,1240.495117
35,13824,362.855125,24,250,0.05,7.64E-06,0.02,55,327.2247314
36,14208,366.88775,24,257,0.05,6.80E-06,0.02,55,367.7117615
37,14592,527.098375,24,264,0.05,5.01E-05,0.02,55,49.89598846
38,14976,481.9611875,24,271,0.05,1.42E-05,0.02,55,176.6676483
39,15360,-270.3845625,24,278,0.05,8.29E-07,0.02,55,3017.394531
40,15744,467.4856875,24,285,0.05,1.17E-05,0.02,55,214.230423
41,16128,443.217125,24,292,0.05,1.01E-05,0.02,55,248.5041046
42,16512,437.449875,24,298,0.05,1.01E-05,0.02,55,246.8576508
43,16896,432.9323125,24,305,0.05,6.71E-06,0.02,55,372.479248
44,17280,242.07275,24,312,0.05,2.57E-06,0.02,55,971.9200439
45,17664,285.3410625,24,319,0.05,6.61E-06,0.02,55,378.4727478
46,18048,294.46425,24,326,0.05,4.97E-06,0.02,55,502.8813171
47,18432,247.9085625,24,333,0.05,2.96E-06,0.02,55,843.4416504
48,18816,531.561375,24,340,0.05,2.34E-05,0.02,55,106.7953644
49,19200,303.962375,24,347,0.05,5.03E-06,0.02,55,497.4559937
50,19584,387.3143125,24,354,0.05,5.63E-06,0.02,55,443.9469604
51,19968,409.9575625,24,361,0.05,1.05E-05,0.02,55,237.4273529
52,20352,437.2665625,24,368,0.05,7.86E-06,0.02,55,318.1056213
53,20736,503.5620625,24,375,0.05,1.23E-05,0.02,55,203.0708618
54,21120,543.408875,24,382,0.05,0.000120216,0.02,55,20.79592896
55,21504,549.1331875,24,389,0.05,0.000140201,0.02,55,17.83152199
56,21888,536.5681875,24,396,0.05,4.22E-05,0.02,55,59.26512909
57,22272,479.612875,24,403,0.05,1.16E-05,0.02,55,216.2511292
58,22656,519.2735625,24,410,0.05,1.86E-05,0.02,55,134.5408173
59,23040,426.7335,24,416,0.05,8.13E-06,0.02,55,307.4270935
60,23424,455.508375,24,423,0.05,9.83E-06,0.02,55,254.2604828
61,23808,522.046875,24,430,0.05,3.09E-05,0.02,55,81.01842499
62,24192,517.01475,24,437,0.05,2.03E-05,0.02,55,122.9480896
63,24576,513.0050625,24,444,0.05,1.53E-05,0.02,55,162.9018097
64,24960,516.916375,24,451,0.05,2.24E-05,0.02,55,111.8016891
65,25344,521.673875,24,458,0.05,2.47E-05,0.02,55,101.174057
66,25728,508.6414375,24,465,0.05,1.97E-05,0.02,55,126.7423782
67,26112,557.2980625,24,472,0.05,9.47E-05,0.02,55,26.4118824
68,26496,549.702625,24,479,0.05,0.000114028,0.02,55,21.92439651
69,26880,544.8450625,24,486,0.05,5.36E-05,0.02,55,46.62608337
70,27264,568.954375,24,493,0.05,0.000120276,0.02,55,20.78554344
71,27648,507.950125,24,500,0.05,1.72E-05,0.02,55,145.3726044
72,28032,537.25525,24,507,0.05,2.16E-05,0.02,55,115.8377457
73,28416,561.7640625,24,514,0.05,0.000111877,0.02,55,22.34599686
74,28800,488.643375,24,521,0.05,7.49E-06,0.02,55,333.9295349
75,29184,578.5535625,24,528,0.05,7.73E-05,0.02,55,32.3396492
76,29568,518.198875,24,535,0.05,1.86E-05,0.02,55,134.3495941
77,29952,573.380375,24,542,0.05,0.000123485,0.02,55,20.24534225
78,30336,516.0115,24,549,0.05,9.45E-06,0.02,55,264.5437622
79,30720,443.78025,24,556,0.05,9.88E-06,0.02,55,253.1539764
80,31104,585.9551875,24,563,0.05,0.000134935,0.02,55,18.52749825
81,31488,572.59725,24,569,0.05,0.000109872,0.02,55,22.75365639
82,31872,481.080375,24,576,0.05,8.63E-06,0.02,55,289.5896606
83,32256,434.6478125,24,583,0.05,7.38E-06,0.02,55,338.8164978
84,32640,566.58125,24,590,0.05,4.37E-05,0.02,55,57.25026703
85,33024,538.0294375,24,597,0.05,3.35E-05,0.02,55,74.55263519
86,33408,542.435125,24,604,0.05,1.89E-05,0.02,55,131.9624939
87,33792,409.576625,24,611,0.05,4.07E-06,0.02,55,614.2258911
88,34176,579.411,24,618,0.05,0.000103522,0.02,55,24.14940643
89,34560,310.23725,24,626,0.05,5.79E-06,0.02,55,431.4725952
90,34944,458.5225625,24,633,0.05,6.69E-06,0.02,55,373.4919434
91,35328,578.0118125,24,640,0.05,0.000126954,0.02,55,19.69217682
92,35712,373.9248125,24,647,0.05,5.41E-06,0.02,55,462.1051636
93,36096,578.682375,24,654,0.05,0.000172653,0.02,55,14.47988987
94,36480,563.4235625,24,660,0.05,2.36E-05,0.02,55,105.8046112
95,36864,572.4081875,24,667,0.05,6.15E-05,0.02,55,40.66792679
96,37248,550.403,24,674,0.05,2.30E-05,0.02,55,108.5107346
97,37632,543.712375,24,681,0.05,2.21E-05,0.02,55,113.0802078
98,38016,583.209125,24,688,0.05,0.000206213,0.02,55,12.1233902
99,38400,576.5520625,24,695,0.05,0.000157744,0.02,55,15.84848976
100,38784,578.6344375,24,702,0.05,0.000291303,0.02,55,8.582133293
101,39168,554.4835625,24,709,0.05,2.02E-05,0.02,55,123.7185974
102,39552,583.4483125,24,716,0.05,0.000185483,0.02,55,13.4783535
103,39936,573.5215,24,723,0.05,5.61E-05,0.02,55,44.54436874
104,40320,585.0019375,24,730,0.05,0.000210067,0.02,55,11.90097237
105,40704,585.9824375,24,737,0.05,0.000163318,0.02,55,15.30757904
106,41088,586.9060625,24,743,0.05,0.000174852,0.02,55,14.29779911
107,41472,544.465,24,750,0.05,1.55E-05,0.02,55,161.7843781
108,41856,593.5133125,24,757,0.05,0.000130747,0.02,55,19.1208725
109,42240,553.2495,24,764,0.05,1.90E-05,0.02,55,131.2886658
110,42624,533.0515,24,771,0.05,1.13E-05,0.02,55,221.7850494
111,43008,571.81775,24,778,0.05,2.84E-05,0.02,55,88.09197235
112,43392,605.1211875,24,785,0.05,0.000225767,0.02,55,11.07335949
113,43776,596.105125,24,792,0.05,0.000143699,0.02,55,17.39744186
114,44160,449.7344375,24,799,0.05,8.23E-06,0.02,55,303.7818909
115,44544,542.0128125,24,806,0.05,1.22E-05,0.02,55,204.3368835
116,44928,-576.6719375,24,813,0.05,5.43E-07,0.02,55,4606.069336
117,45312,530.49975,24,819,0.05,1.87E-05,0.02,55,133.818512
118,45696,512.9471875,24,826,0.05,8.47E-06,0.02,55,295.026947
119,46080,604.3954375,24,833,0.05,0.000178882,0.02,55,13.97572517
120,46464,502.4220625,24,840,0.05,1.15E-05,0.02,55,217.9750061
121,46848,591.4695625,24,847,0.05,5.45E-05,0.02,55,45.88871002
122,47232,596.89225,24,854,0.05,0.000108604,0.02,55,23.01946259
123,47616,572.40225,24,861,0.05,4.55E-05,0.02,55,54.91456985
124,48000,567.22825,24,868,0.05,2.04E-05,0.02,55,122.5351715
125,48384,-8.4935625,24,874,0.05,1.05E-06,0.02,55,2389.533447
