train/step_size,train/iterations,rollout/ep_rew_mean,time/fps,rollout/return_std,time/total_timesteps,time/time_elapsed,train/delta_std,rollout/ep_len_mean,train/learning_rate
1.9372231463421485e-07,0,-34624.526249999995,52,12905.0693359375,384,7,0.05,24.0,0.02
1.4603294573589665e-07,1,-27365.448937499998,52,17119.423828125,768,14,0.05,24.0,0.02
1.8567216386600194e-07,2,-26222.915374999997,53,13464.5927734375,1152,21,0.05,24.0,0.02
1.6862638574366429e-07,3,-25223.168312499998,53,14825.673828125,1536,28,0.05,24.0,0.02
1.6275954806133086e-07,4,-22123.6985625,53,15360.08203125,1920,36,0.05,24.0,0.02
1.5826522314910108e-07,5,-21398.271562500002,53,15796.2685546875,2304,43,0.05,24.0,0.02
2.3547174521354464e-07,6,-13104.9055,53,10616.9853515625,2688,50,0.05,24.0,0.02
2.3190141007489729e-07,7,-12707.512375000002,53,10780.443359375,3072,57,0.05,24.0,0.02
1.9929933614548645e-07,8,-14547.049375,53,12543.9453125,3456,65,0.05,24.0,0.02
2.1686045670321619e-07,9,-12812.024125,53,11528.150390625,3840,72,0.05,24.0,0.02
3.2718202191972523e-07,10,-9442.471875,53,7641.00634765625,4224,79,0.05,24.0,0.02
2.43603807348336e-07,11,-10574.1655625,53,10262.5654296875,4608,86,0.05,24.0,0.02
4.815316856365826e-07,12,-4693.3305625,53,5191.76611328125,4992,93,0.05,24.0,0.02
5.798006554869062e-07,13,-3461.4094374999995,53,4311.82666015625,5376,100,0.05,24.0,0.02
4.7029118377395207e-07,14,-5931.317000000001,53,5315.85546875,5760,107,0.05,24.0,0.02
4.0470371232004254e-07,15,-3658.8996875000003,53,6177.35888671875,6144,114,0.05,24.0,0.02
4.357004002031317e-07,16,-4735.32275,53,5737.8876953125,6528,121,0.05,24.0,0.02
4.855168640460761e-07,17,-3639.6614375,53,5149.15185546875,6912,128,0.05,24.0,0.02
4.0627173802931793e-07,18,-2895.4593125,53,6153.5166015625,7296,136,0.05,24.0,0.02
4.689165109539317e-07,19,-2476.8336875,53,5331.439453125,7680,143,0.05,24.0,0.02
3.692268535360199e-07,20,-4580.392312499999,53,6770.90478515625,8064,150,0.05,24.0,0.02
5.189269245420292e-07,21,-2364.6731875,53,4817.6337890625,8448,158,0.05,24.0,0.02
8.984776513898396e-07,22,-1304.2406875000001,53,2782.484375,8832,165,0.05,24.0,0.02
4.4500112039713713e-07,23,-1920.3126874999998,53,5617.96337890625,9216,172,0.05,24.0,0.02
1.285783582716249e-06,24,-718.512,53,1944.339599609375,9600,179,0.05,24.0,0.02
4.30246882388019e-06,25,-0.38450000000000273,53,581.0617065429688,9984,187,0.05,24.0,0.02
1.7375600691593718e-06,26,-201.44474999999997,53,1438.7991943359375,10368,194,0.05,24.0,0.02
4.1736720959306695e-06,27,194.678875,53,598.992919921875,10752,201,0.05,24.0,0.02
2.724529167608125e-06,28,141.93843750000002,53,917.5897216796875,11136,209,0.05,24.0,0.02
5.487464704856393e-07,29,-975.2823125000002,53,4555.837890625,11520,216,0.05,24.0,0.02
6.0931965890631545e-06,30,223.36218749999998,53,410.2936706542969,11904,224,0.05,24.0,0.02
6.01197234573192e-06,31,311.2220625,53,415.8368835449219,12288,231,0.05,24.0,0.02
9.952069603968994e-07,32,-330.6458750000001,53,2512.040283203125,12672,238,0.05,24.0,0.02
6.085554105084157e-07,33,-1723.2485625,53,4108.08935546875,13056,245,0.05,24.0,0.02
1.419798172719311e-05,34,468.71450000000004,52,176.08135986328125,13440,253,0.05,24.0,0.02
2.0566310467984295e-06,35,-3.8028125000000017,52,1215.5802001953125,13824,261,0.05,24.0,0.02
3.681153657453251e-06,36,243.46137499999998,52,679.1348876953125,14208,268,0.05,24.0,0.02
9.910854714689776e-07,37,-183.2383124999999,52,2522.486572265625,14592,276,0.05,24.0,0.02
5.663631327479379e-06,38,403.3061875,52,441.41290283203125,14976,283,0.05,24.0,0.02
5.634741683024913e-06,39,338.14156249999996,52,443.6760559082031,15360,290,0.05,24.0,0.02
3.149028270854615e-05,40,511.2904375,52,79.38957214355469,15744,297,0.05,24.0,0.02
1.1586845403144252e-06,41,-363.44225000000006,52,2157.619140625,16128,305,0.05,24.0,0.02
