train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/step_size,train/iterations,rollout/return_std,time/total_timesteps,time/fps,train/delta_std,time/time_elapsed
0.02,-28905.611875000002,24.0,1.386799510783021e-07,0,18027.119140625,384,55,0.05,6
0.02,-32818.438875,24.0,1.380458627409098e-07,1,18109.923828125,768,54,0.05,14
0.02,-27012.5923125,24.0,1.5914547191187012e-07,2,15708.8984375,1152,54,0.05,21
0.02,-23160.6798125,24.0,1.9112916049834894e-07,3,13080.16015625,1536,55,0.05,27
0.02,-18049.779375,24.0,2.3110546010229882e-07,4,10817.572265625,1920,55,0.05,34
0.02,-20979.21525,24.0,1.6517121537162893e-07,5,15135.80859375,2304,55,0.05,41
0.02,-20924.451374999997,24.0,1.6304390726418205e-07,6,15333.29296875,2688,54,0.05,48
0.02,-13147.297437500001,24.0,2.1518027892852842e-07,7,11618.1650390625,3072,54,0.05,55
0.02,-7598.8001875,24.0,3.487881485852995e-07,8,7167.67431640625,3456,54,0.05,63
0.02,-12434.3274375,24.0,2.1216948198343744e-07,9,11783.0322265625,3840,54,0.05,69
0.02,-9600.3013125,24.0,2.3753366917844687e-07,10,10524.8232421875,4224,54,0.05,76
0.02,-8040.520687499999,24.0,3.2676007322152145e-07,11,7650.873046875,4608,54,0.05,83
0.02,-9792.357,24.0,2.9652215971509577e-07,12,8431.0732421875,4992,55,0.05,90
0.02,-7158.8959374999995,24.0,2.736339581588254e-07,13,9136.29296875,5376,54,0.05,98
0.02,-4744.964875,24.0,3.485808122150047e-07,14,7171.9375,5760,54,0.05,105
0.02,-1992.388375,24.0,7.672552442272718e-07,15,3258.3681640625,6144,54,0.05,112
0.02,-3723.8611249999994,24.0,4.1964455022025504e-07,16,5957.42236328125,6528,54,0.05,119
0.02,-2253.8735625,24.0,6.120018838373653e-07,17,4084.95458984375,6912,54,0.05,126
0.02,-1558.743375,24.0,6.477802116933162e-07,18,3859.33349609375,7296,54,0.05,133
0.02,-1613.018125,24.0,4.169040721535566e-07,19,5996.58349609375,7680,54,0.05,140
0.02,-666.8470625,24.0,1.2536228268800187e-06,20,1994.2200927734375,8064,54,0.05,147
0.02,-1695.2836874999998,24.0,5.473321493809635e-07,21,4567.6103515625,8448,54,0.05,154
0.02,-381.72118750000004,24.0,2.5909532723744633e-06,22,964.8958129882812,8832,54,0.05,161
0.02,-1012.9903125000001,24.0,7.905266556917923e-07,23,3162.44873046875,9216,54,0.05,168
0.02,-1254.4231249999998,24.0,3.792652023548726e-07,24,6591.693359375,9600,54,0.05,176
0.02,-898.9974375000002,24.0,7.842122045076394e-07,25,3187.91259765625,9984,54,0.05,183
0.02,-797.982,24.0,8.676096285853419e-07,26,2881.480224609375,10368,54,0.05,190
0.02,378.65587500000004,24.0,8.28231804916868e-06,27,301.8478698730469,10752,54,0.05,197
0.02,253.3024375,24.0,5.1722977332246955e-06,28,483.34417724609375,11136,54,0.05,203
0.02,429.27787499999994,24.0,7.777168320899364e-06,29,321.4537353515625,11520,54,0.05,211
0.02,491.14812500000005,24.0,1.70930361491628e-05,30,146.25839233398438,11904,54,0.05,218
0.02,413.94925,24.0,8.21396770334104e-06,31,304.3595886230469,12288,54,0.05,225
0.02,428.7710625,24.0,9.183109796140343e-06,32,272.2389221191406,12672,54,0.05,232
0.02,469.807875,24.0,9.177339961752295e-06,33,272.41009521484375,13056,54,0.05,239
0.02,277.82906249999996,24.0,3.358440835654619e-06,34,744.3930053710938,13440,54,0.05,246
0.02,379.6299375,24.0,5.255855285213329e-06,35,475.65997314453125,13824,54,0.05,253
0.02,490.675625,24.0,2.280949593114201e-05,36,109.60347747802734,14208,54,0.05,260
0.02,360.61575,24.0,7.6308306233841e-06,37,327.6183166503906,14592,54,0.05,267
0.02,535.055,24.0,4.775164052261971e-05,38,52.35422134399414,14976,54,0.05,274
0.02,163.9494375,24.0,2.5733106667757966e-06,39,971.5111694335938,15360,54,0.05,281
0.02,529.3159375,24.0,4.212080966681242e-05,40,59.353084564208984,15744,54,0.05,288
0.02,487.741625,24.0,1.0439044672239106e-05,41,239.4855194091797,16128,54,0.05,296
0.02,370.531,24.0,6.498287802969571e-06,42,384.7167053222656,16512,54,0.05,303
0.02,491.4833125,24.0,1.129259544541128e-05,43,221.3839874267578,16896,54,0.05,310
0.02,499.5576875,24.0,1.3747543562203646e-05,44,181.8506622314453,17280,54,0.05,317
0.02,444.2559375,24.0,1.0284760719514452e-05,45,243.07809448242188,17664,54,0.05,324
0.02,545.3702499999999,24.0,3.683131217258051e-05,46,67.87702941894531,18048,54,0.05,331
0.02,462.4664375,24.0,6.881340596009977e-06,47,363.3013000488281,18432,54,0.05,338
0.02,280.24899999999997,24.0,4.761100626637926e-06,48,525.0886840820312,18816,54,0.05,345
0.02,444.49750000000006,24.0,7.68757308833301e-06,49,325.2001647949219,19200,54,0.05,352
0.02,561.1167499999999,24.0,8.668139344081283e-05,50,28.841251373291016,19584,54,0.05,359
0.02,576.989875,24.0,0.0001035200257319957,51,24.149917602539062,19968,54,0.05,366
0.02,584.9428125,24.0,0.00013125430268701166,52,19.046993255615234,20352,54,0.05,374
0.02,585.633875,24.0,0.00013000507897231728,53,19.230016708374023,20736,54,0.05,380
0.02,581.7701875,24.0,0.00010164322156924754,54,24.595834732055664,21120,54,0.05,387
0.02,-698.0314375,24.0,4.991234163753688e-07,55,5008.78076171875,21504,54,0.05,394
0.02,579.072625,24.0,9.60466277319938e-05,56,26.029024124145508,21888,54,0.05,401
0.02,534.615,24.0,1.1111208550573792e-05,57,224.99801635742188,22272,54,0.05,408
0.02,358.6289375,24.0,3.804926791417529e-06,58,657.0428466796875,22656,54,0.05,415
0.02,588.4439375,24.0,0.00017785256204660982,59,14.056586265563965,23040,54,0.05,422
0.02,528.187875,24.0,1.4007935533300042e-05,60,178.4702606201172,23424,54,0.05,429
0.02,584.59875,24.0,0.00013836378639098257,61,18.06831169128418,23808,54,0.05,436
0.02,587.3119999999999,24.0,0.0001821570040192455,62,13.7244234085083,24192,54,0.05,443
0.02,236.7813125,24.0,1.7917859622684773e-06,63,1395.255859375,24576,54,0.05,450
0.02,546.72375,24.0,2.2313708541332744e-05,64,112.03874969482422,24960,54,0.05,457
0.02,578.1145,24.0,0.00010166381252929568,65,24.590852737426758,25344,54,0.05,464
0.02,562.4705625,24.0,3.006085717061069e-05,66,83.16462707519531,25728,54,0.05,471
0.02,550.5243125,24.0,2.0457675418583676e-05,67,122.2035140991211,26112,54,0.05,479
0.02,568.325,24.0,4.5528271584771574e-05,68,54.91093444824219,26496,54,0.05,486
0.02,573.04825,24.0,5.299606709741056e-05,69,47.173309326171875,26880,54,0.05,493
0.02,585.6485,24.0,0.00017967143503483385,70,13.914287567138672,27264,54,0.05,500
0.02,569.356375,24.0,3.0876570235705e-05,71,80.96753692626953,27648,54,0.05,507
0.02,580.3848125,24.0,4.527147757471539e-05,72,55.222408294677734,28032,54,0.05,514
0.02,588.3612499999999,24.0,0.0001218689649249427,73,20.513835906982422,28416,54,0.05,521
0.02,367.7536875,24.0,5.484971097757807e-06,74,455.7908935546875,28800,54,0.05,528
0.02,253.2189375,24.0,1.8668830534807057e-06,75,1339.1304931640625,29184,54,0.05,535
0.02,580.5110625,24.0,3.6183726479066536e-05,76,69.09183502197266,29568,54,0.05,542
0.02,593.2425625,24.0,0.00024348151055164635,77,10.267720222473145,29952,54,0.05,549
0.02,571.662125,24.0,3.617625407059677e-05,78,69.1061019897461,30336,54,0.05,556
0.02,578.10675,24.0,4.5826658606529236e-05,79,54.55339813232422,30720,54,0.05,563
0.02,499.0304375,24.0,9.364293873659335e-06,80,266.9715270996094,31104,54,0.05,569
0.02,594.2256875,24.0,0.0001516177726443857,81,16.488832473754883,31488,54,0.05,576
0.02,595.201875,24.0,0.00011444206757005304,82,21.84511375427246,31872,54,0.05,583
0.02,548.064625,24.0,1.1872907634824514e-05,83,210.56341552734375,32256,54,0.05,590
0.02,418.00149999999996,24.0,4.41609108747798e-06,84,566.1115112304688,32640,54,0.05,597
0.02,601.174,24.0,0.00017539069813210517,85,14.253890037536621,33024,54,0.05,604
0.02,543.4379375,24.0,1.1147987606818788e-05,86,224.25570678710938,33408,54,0.05,611
0.02,504.79987500000004,24.0,9.431392754777335e-06,87,265.07220458984375,33792,54,0.05,618
0.02,560.1886875,24.0,1.8586570149636827e-05,88,134.50572204589844,34176,54,0.05,625
0.02,595.4573125,24.0,0.0001784969645086676,89,14.005840301513672,34560,54,0.05,632
0.02,536.134875,24.0,1.3440665497910231e-05,90,186.002685546875,34944,54,0.05,640
0.02,540.7995625000001,24.0,1.5444882592419162e-05,91,161.86590576171875,35328,54,0.05,647
0.02,603.6010625,24.0,0.00023909268202260137,92,10.456195831298828,35712,54,0.05,654
0.02,564.6303750000001,24.0,2.13016082852846e-05,93,117.36203002929688,36096,54,0.05,661
0.02,473.15643750000004,24.0,7.842591912776697e-06,94,318.77215576171875,36480,54,0.05,668
0.02,577.9811875,24.0,3.757158629014157e-05,95,66.53964233398438,36864,54,0.05,675
0.02,601.1471875,24.0,0.0002708984538912773,96,9.22854995727539,37248,54,0.05,682
0.02,595.9480625000001,24.0,0.00010755674884421751,97,23.24354362487793,37632,54,0.05,689
0.02,555.4945,24.0,1.6069341654656455e-05,98,155.5757598876953,38016,54,0.05,696
0.02,609.504,24.0,0.00012202999641885981,99,20.486766815185547,38400,54,0.05,703
0.02,606.7323125,24.0,0.00014767485845368356,100,16.9290828704834,38784,54,0.05,710
0.02,617.7184375,24.0,0.00020162854343652725,101,12.399038314819336,39168,54,0.05,717
0.02,597.142875,24.0,5.51273042219691e-05,102,45.34957504272461,39552,54,0.05,724
0.02,544.608375,24.0,9.387777026859112e-06,103,266.3037109375,39936,54,0.05,732
0.02,613.780625,24.0,0.00018356474174652249,104,13.619173049926758,40320,54,0.05,739
0.02,611.5776875,24.0,0.00022550432186108083,105,11.086261749267578,40704,54,0.05,747
0.02,614.549875,24.0,0.00018870066560339183,106,13.248495101928711,41088,54,0.05,754
0.02,617.9906875,24.0,0.00018045195611193776,107,13.854103088378906,41472,54,0.05,761
0.02,606.270125,24.0,0.00014752378046978265,108,16.946420669555664,41856,54,0.05,769
0.02,610.97125,24.0,0.00014724425273016095,109,16.978591918945312,42240,54,0.05,776
0.02,567.2476875,24.0,1.3698475413548294e-05,110,182.50205993652344,42624,54,0.05,783
0.02,620.6173125,24.0,0.00023477572540286928,111,10.648460388183594,43008,54,0.05,791
0.02,612.206375,24.0,0.0001392756967106834,112,17.950008392333984,43392,54,0.05,798
0.02,623.6946875,24.0,0.00037943985080346465,113,6.588659763336182,43776,54,0.05,806
0.02,621.7792499999999,24.0,0.00027615606086328626,114,9.052851676940918,44160,54,0.05,813
0.02,622.2531875,24.0,0.000491395709104836,115,5.087549686431885,44544,54,0.05,820
0.02,619.177125,24.0,0.00012919983419124037,116,19.349868774414062,44928,54,0.05,827
0.02,609.6789375000001,24.0,4.992264075553976e-05,117,50.077476501464844,45312,54,0.05,834
0.02,621.282625,24.0,0.0003130232507828623,118,7.986626625061035,45696,54,0.05,841
0.02,622.801125,24.0,0.00032002184889279306,119,7.811966896057129,46080,54,0.05,848
0.02,618.1735624999999,24.0,0.00022537480981554836,120,11.092632293701172,46464,54,0.05,856
0.02,619.054125,24.0,0.00019034197612199932,121,13.134255409240723,46848,54,0.05,863
0.02,622.081875,24.0,0.00040664331754669547,122,6.14789342880249,47232,54,0.05,870
0.02,545.969375,24.0,1.089118632080499e-05,123,229.54339599609375,47616,54,0.05,877
0.02,618.6406875,24.0,0.00023591777426190674,124,10.596912384033203,48000,54,0.05,884
0.02,622.532375,24.0,0.0004205131554044783,125,5.945117473602295,48384,54,0.05,892
0.02,617.6125,24.0,0.00021466793259605765,126,11.645894050598145,48768,54,0.05,899
0.02,620.5116875,24.0,0.0003355446388013661,127,7.450572967529297,49152,54,0.05,906
0.02,612.777875,24.0,0.00011527517199283466,128,21.687236785888672,49536,54,0.05,913
0.02,604.1946875,24.0,3.496110730338842e-05,129,71.5080337524414,49920,54,0.05,919
0.02,579.4786875,24.0,1.5277613783837296e-05,130,163.6381072998047,50304,54,0.05,927
0.02,620.9475,24.0,0.00030357338255271316,131,8.235240936279297,50688,54,0.05,934
0.02,586.105,24.0,1.9522016373230144e-05,132,128.060546875,51072,54,0.05,941
0.02,592.37825,24.0,2.069585389108397e-05,133,120.79713439941406,51456,54,0.05,948
0.02,619.3630625,24.0,0.00021979428129270673,134,11.374272346496582,51840,54,0.05,955
0.02,623.1245625000001,24.0,0.00045843119733035564,135,5.453381061553955,52224,54,0.05,962
0.02,623.5284375,24.0,0.0005634566769003868,136,4.436898231506348,52608,54,0.05,969
0.02,623.4989999999999,24.0,0.000837810046505183,137,2.9839696884155273,52992,54,0.05,976
0.02,624.1613749999999,24.0,0.000786031479947269,138,3.1805338859558105,53376,54,0.05,983
0.02,619.2061249999999,24.0,0.0001400952460244298,139,17.845001220703125,53760,54,0.05,990
0.02,624.4982500000001,24.0,0.0013983675744384527,140,1.7877987623214722,54144,54,0.05,997
0.02,624.6901250000001,24.0,0.001238906173966825,141,2.017908811569214,54528,54,0.05,1004
0.02,624.22125,24.0,0.0008992222719825804,142,2.780179977416992,54912,54,0.05,1011
0.02,622.2784375,24.0,0.0002271311095682904,143,11.006857872009277,55296,54,0.05,1018
0.02,623.93125,24.0,0.0005403143004514277,144,4.626936435699463,55680,54,0.05,1025
0.02,614.4459375,24.0,7.004139479249716e-05,145,35.69317626953125,56064,54,0.05,1033
0.02,624.0,24.0,0.0005399536457844079,146,4.6300272941589355,56448,54,0.05,1040
0.02,620.608125,24.0,0.0002164848701795563,147,11.548151016235352,56832,54,0.05,1047
0.02,623.9088125000001,24.0,0.0003194384917151183,148,7.826232433319092,57216,54,0.05,1054
0.02,625.7078750000001,24.0,0.0007360870949923992,149,3.3963370323181152,57600,54,0.05,1061
0.02,588.52325,24.0,1.7251015378860757e-05,150,144.91900634765625,57984,54,0.05,1068
0.02,618.92,24.0,0.00023094352218322456,151,10.825157165527344,58368,54,0.05,1075
0.02,625.9558125,24.0,0.0008362311637029052,152,2.9896035194396973,58752,54,0.05,1082
0.02,624.7639375,24.0,0.0005875902133993804,153,4.254665851593018,59136,54,0.05,1089
0.02,624.75675,24.0,0.0003560137702152133,154,7.022200107574463,59520,54,0.05,1096
0.02,619.3825625,24.0,0.00015041236474644393,155,16.620973587036133,59904,54,0.05,1103
0.02,624.2481250000001,24.0,0.00031619935180060565,156,7.906404495239258,60288,54,0.05,1110
0.02,623.5366250000001,24.0,0.0003650550206657499,157,6.848282814025879,60672,54,0.05,1117
0.02,627.5056875,24.0,0.0005647036014124751,158,4.427101135253906,61056,54,0.05,1124
0.02,624.6901875,24.0,0.00022648536833003163,159,11.038240432739258,61440,54,0.05,1131
0.02,625.9546875000001,24.0,0.0004343198088463396,160,5.756126880645752,61824,54,0.05,1139
0.02,596.098125,24.0,3.529604146024212e-05,161,70.82947540283203,62208,54,0.05,1146
0.02,624.9896875000001,24.0,0.00028656222275458276,162,8.724108695983887,62592,54,0.05,1153
0.02,620.3080625,24.0,0.00020441689412109554,163,12.229907989501953,62976,54,0.05,1160
0.02,625.2425000000001,24.0,0.0003411539946682751,164,7.32806921005249,63360,54,0.05,1167
0.02,627.7053125,24.0,0.0005266466760076582,165,4.747015476226807,63744,54,0.05,1174
0.02,629.2205624999999,24.0,0.0006002091686241329,166,4.165214538574219,64128,54,0.05,1181
0.02,625.4295625,24.0,0.0001760076847858727,167,14.203924179077148,64512,54,0.05,1188
0.02,627.36775,24.0,0.0004578553489409387,168,5.460239887237549,64896,54,0.05,1196
0.02,619.13825,24.0,6.922212924109772e-05,169,36.11561965942383,65280,54,0.05,1203
0.02,594.5763125,24.0,1.832802990975324e-05,170,136.40309143066406,65664,54,0.05,1210
0.02,630.0320625,24.0,0.00039545513573102653,171,6.321829795837402,66048,54,0.05,1217
0.02,617.2825625,24.0,6.277331704040989e-05,172,39.82583999633789,66432,54,0.05,1224
0.02,622.8273125000001,24.0,0.00024831434711813927,173,10.067883491516113,66816,54,0.05,1231
0.02,626.8041875,24.0,0.0003382136346772313,174,7.391777992248535,67200,54,0.05,1238
0.02,625.1935625,24.0,0.0002633914118632674,175,9.4915771484375,67584,54,0.05,1245
0.02,631.045625,24.0,0.0009390085469931364,176,2.662382125854492,67968,54,0.05,1252
0.02,627.4201875,24.0,0.00039757892955094576,177,6.288059711456299,68352,54,0.05,1259
0.02,579.7865625,24.0,1.2569742466439493e-05,178,198.8903045654297,68736,54,0.05,1266
0.02,626.2654375000001,24.0,0.00036111552617512643,179,6.92299222946167,69120,54,0.05,1273
0.02,629.9264375,24.0,0.0007037170580588281,180,3.5525636672973633,69504,54,0.05,1280
0.02,627.9804375000001,24.0,0.00034983991645276546,181,7.146125793457031,69888,54,0.05,1287
0.02,622.9714375,24.0,0.0002138805139111355,182,11.688769340515137,70272,54,0.05,1294
0.02,631.179375,24.0,0.0006649757269769907,183,3.759535551071167,70656,54,0.05,1302
0.02,629.1791875,24.0,0.00042551386286504567,184,5.87524938583374,71040,54,0.05,1308
0.02,633.186375,24.0,0.0017976214876398444,185,1.3907264471054077,71424,54,0.05,1315
0.02,631.386125,24.0,0.0007074052118696272,186,3.5340421199798584,71808,54,0.05,1322
0.02,629.750375,24.0,0.0004016484890598804,187,6.224348068237305,72192,54,0.05,1329
0.02,631.36275,24.0,0.0005645813071168959,188,4.428060054779053,72576,54,0.05,1336
0.02,631.16475,24.0,0.0004992366302758455,189,5.007645130157471,72960,54,0.05,1343
0.02,630.3758124999999,24.0,0.0003977064334321767,190,6.286043643951416,73344,54,0.05,1351
0.02,632.288875,24.0,0.0005571031360886991,191,4.487499237060547,73728,54,0.05,1358
0.02,633.609375,24.0,0.0017055581556633115,192,1.465795636177063,74112,54,0.05,1365
0.02,588.4569375000001,24.0,1.4075379112910014e-05,193,177.61509704589844,74496,54,0.05,1372
0.02,630.704125,24.0,0.0005262448103167117,194,4.750640392303467,74880,54,0.05,1380
0.02,632.806875,24.0,0.0004990406450815499,195,5.0096116065979,75264,54,0.05,1388
0.02,583.307,24.0,1.3171616046747658e-05,196,189.8020782470703,75648,54,0.05,1395
0.02,630.2373125,24.0,0.00040727746090851724,197,6.138321399688721,76032,54,0.05,1402
0.02,625.565625,24.0,0.00014715765428263694,198,16.988582611083984,76416,54,0.05,1409
0.02,631.2665625,24.0,0.00033808680018410087,199,7.394550323486328,76800,54,0.05,1416
0.02,632.008625,24.0,0.0005556870019063354,200,4.498935699462891,77184,54,0.05,1424
0.02,632.971875,24.0,0.0010796289425343275,201,2.31561017036438,77568,54,0.05,1430
0.02,633.7078124999999,24.0,0.0011676475405693054,202,2.141056776046753,77952,54,0.05,1437
0.02,631.7745625,24.0,0.000408523075748235,203,6.11960506439209,78336,54,0.05,1444
0.02,630.9678125,24.0,0.00031641116947866976,204,7.901111602783203,78720,54,0.05,1452
0.02,630.735375,24.0,0.0002998080162797123,205,8.338669776916504,79104,54,0.05,1459
