train/step_size,rollout/return_std,time/time_elapsed,train/delta_std,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/iterations
1.9197349843125266e-07,13022.6298828125,7,0.05,384,54,24.0,0.02,-33592.246375,0
1.3300359569257125e-07,18796.482421875,14,0.05,768,53,24.0,0.02,-30134.5313125,1
2.426504295272025e-07,10302.88671875,21,0.05,1152,53,24.0,0.02,-24050.2539375,2
1.5549146326065966e-07,16078.052734375,28,0.05,1536,53,24.0,0.02,-32428.74825,3
2.1986693354847375e-07,11370.513671875,35,0.05,1920,53,24.0,0.02,-26616.433312499998,4
1.626122525522078e-07,15373.99609375,42,0.05,2304,53,24.0,0.02,-25471.07775,5
3.7179714240664907e-07,6724.0966796875,50,0.05,2688,53,24.0,0.02,-12729.3161875,6
2.40420462205293e-07,10398.44921875,57,0.05,3072,53,24.0,0.02,-13266.181874999998,7
2.4940084131230833e-07,10024.0244140625,64,0.05,3456,53,24.0,0.02,-13235.4415625,8
2.3074782973253605e-07,10834.337890625,71,0.05,3840,53,24.0,0.02,-20584.213625,9
1.5974119094153139e-07,15650.3154296875,78,0.05,4224,53,24.0,0.02,-15320.3655625,10
1.9697056075074215e-07,12692.251953125,86,0.05,4608,53,24.0,0.02,-13869.48925,11
3.6109270240558544e-07,6923.4296875,93,0.05,4992,53,24.0,0.02,-6959.905875,12
2.467509148118552e-07,10131.673828125,100,0.05,5376,53,24.0,0.02,-9170.120875,13
2.438473245547357e-07,10252.3173828125,107,0.05,5760,53,24.0,0.02,-9034.0155625,14
4.4834166601503966e-07,5576.1044921875,114,0.05,6144,53,24.0,0.02,-4169.4226875,15
4.803739557246445e-07,5204.27880859375,121,0.05,6528,53,24.0,0.02,-4244.345125,16
2.8478197577896935e-07,8778.6455078125,128,0.05,6912,53,24.0,0.02,-6354.8755,17
7.617404094162339e-07,3281.957763671875,135,0.05,7296,53,24.0,0.02,-2013.1005,18
4.459203069018258e-07,5606.3828125,142,0.05,7680,53,24.0,0.02,-3173.8679375,19
9.715253099784604e-07,2573.273193359375,149,0.05,8064,53,24.0,0.02,-953.1175000000001,20
6.74079672080552e-07,3708.760009765625,156,0.05,8448,54,24.0,0.02,-1315.8315625,21
5.47337265288661e-07,4567.5673828125,163,0.05,8832,54,24.0,0.02,-1627.2965625000002,22
4.2396240473863145e-07,5896.7490234375,170,0.05,9216,54,24.0,0.02,-3708.3936875,23
1.0649085879776976e-06,2347.619384765625,177,0.05,9600,54,24.0,0.02,-1614.7155,24
8.382554028685263e-07,2982.384521484375,184,0.05,9984,54,24.0,0.02,-1318.5020000000002,25
3.761359437248757e-07,6646.533203125,191,0.05,10368,54,24.0,0.02,-3206.1438749999998,26
1.4239184338293853e-06,1755.7186279296875,198,0.05,10752,54,24.0,0.02,-828.930875,27
8.214400963879598e-07,3043.435546875,205,0.05,11136,54,24.0,0.02,-1099.9155625,28
5.209905680203519e-07,4798.55126953125,212,0.05,11520,54,24.0,0.02,-916.998875,29
5.0058129090757575e-06,499.4194030761719,219,0.05,11904,54,24.0,0.02,180.3524375,30
2.308440798515221e-06,1082.9820556640625,226,0.05,12288,54,24.0,0.02,-172.83562500000002,31
6.197211405378766e-06,403.4072570800781,233,0.05,12672,54,24.0,0.02,44.76912500000001,32
7.69178404880222e-06,325.0221252441406,241,0.05,13056,54,24.0,0.02,364.34556249999997,33
2.6446521133038914e-06,945.3038330078125,248,0.05,13440,54,24.0,0.02,88.375625,34
6.047424903954379e-06,413.3990783691406,255,0.05,13824,54,24.0,0.02,354.44075,35
8.728875400265679e-07,2864.057373046875,262,0.05,14208,54,24.0,0.02,-281.08068749999995,36
1.0865412150451448e-05,230.08792114257812,269,0.05,14592,54,24.0,0.02,432.59231250000005,37
7.131423899409128e-06,350.5611267089844,276,0.05,14976,54,24.0,0.02,420.815875,38
1.0695015589590184e-05,233.75372314453125,283,0.05,15360,54,24.0,0.02,444.91225,39
8.029134733078536e-06,311.3660583496094,290,0.05,15744,54,24.0,0.02,361.31899999999996,40
8.786856596998405e-06,284.5158386230469,297,0.05,16128,54,24.0,0.02,390.707,41
4.4872136641060933e-05,55.713863372802734,304,0.05,16512,54,24.0,0.02,539.1465000000001,42
9.516073077975307e-06,262.7134094238281,311,0.05,16896,54,24.0,0.02,398.6594375,43
5.45876400792622e-06,457.9791259765625,318,0.05,17280,54,24.0,0.02,273.3185625,44
1.447426257072948e-05,172.72036743164062,325,0.05,17664,54,24.0,0.02,510.62825000000004,45
4.8950337259157095e-06,510.7216796875,333,0.05,18048,54,24.0,0.02,428.28331249999997,46
9.545584362058435e-06,261.90118408203125,340,0.05,18432,54,24.0,0.02,457.4405625,47
1.9679588149301708e-05,127.0351791381836,347,0.05,18816,54,24.0,0.02,483.266125,48
5.0913104132632725e-06,491.03271484375,354,0.05,19200,54,24.0,0.02,303.1605,49
1.1612586604314856e-05,215.2836456298828,361,0.05,19584,54,24.0,0.02,442.496125,50
4.925369012198644e-06,507.576171875,368,0.05,19968,54,24.0,0.02,387.063625,51
0.00014612208178732544,17.108980178833008,375,0.05,20352,54,24.0,0.02,555.6723125,52
9.56932308326941e-06,261.2514953613281,382,0.05,20736,54,24.0,0.02,480.94856250000004,53
7.812810508767143e-06,319.9872741699219,390,0.05,21120,54,24.0,0.02,468.8553125,54
5.9146503190277144e-05,42.26792526245117,397,0.05,21504,54,24.0,0.02,541.39725,55
0.00010347574425395578,24.160249710083008,404,0.05,21888,54,24.0,0.02,557.051375,56
