time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/entropy_loss
21,94,1,2048,-542.4130471,24,,,,,,,,,,,
44,92,2,4096,-543.01664,24,0.0003,0.087451172,78451.79431,0.997202098,-0.00084734,-0.006040238,10,34561.89063,0.2,0.00857745,-15.59172802
71,85,3,6144,-538.75805,24,0.0003,0.074267578,77115.99839,1.002728105,1.73E-06,-0.006346883,20,38487.66406,0.2,0.006440692,-15.6078925
100,81,4,8192,-541.5174,24,0.0003,0.088085938,74391.77367,0.999837339,0,-0.006982727,30,40426.98438,0.2,0.007291147,-15.62005364
136,74,5,10240,-537.75065,24,0.0003,0.051757813,73444.71095,0.999242604,-1.19E-07,-0.004013714,40,33003.94531,0.2,0.005633412,-15.60277162
175,70,6,12288,-537.5026,24,0.0003,0.054931641,70566.68711,1.003929257,-1.19E-07,-0.004014211,50,33080.46094,0.2,0.006750728,-15.62807026
213,67,7,14336,-534.97206,24,0.0003,0.074316406,68560.95074,1.002981424,2.38E-07,-0.003436685,60,31592.42578,0.2,0.006126529,-15.64428319
251,65,8,16384,-534.6531,24,0.0003,0.100341797,66425.01256,1.000481606,0,-0.006972668,70,30224.9668,0.2,0.009838693,-15.6246872
290,63,9,18432,-533.67845,24,0.0003,0.103857422,64722.00897,1.003229022,0,-0.007828765,80,33500.04297,0.2,0.007373651,-15.62438876
329,62,10,20480,-534.36266,24,0.0003,0.131201172,63013.21527,1.001213193,-1.19E-07,-0.009406651,90,34522.02344,0.2,0.010748016,-15.62549323
367,61,11,22528,-531.76531,24,0.0003,0.078417969,61266.21385,0.993727446,1.19E-07,-0.006418318,100,29826.95313,0.2,0.007756042,-15.56927946
406,60,12,24576,-534.73729,24,0.0003,0.08203125,59417.52672,0.99728179,-1.19E-07,-0.005844428,110,32763.35547,0.2,0.007464736,-15.553077
445,59,13,26624,-532.02475,24,0.0003,0.06640625,58563.66765,0.994099379,0,-0.004583731,120,28800.64453,0.2,0.007160005,-15.54824182
484,59,14,28672,-532.16902,24,0.0003,0.072167969,56188.54431,0.989163339,0,-0.003782761,130,24827.78906,0.2,0.006946852,-15.50158181
522,58,15,30720,-531.7961,24,0.0003,0.089453125,54930.2108,0.987464368,1.19E-07,-0.006903372,140,25819.80273,0.2,0.007705958,-15.46920015
561,58,16,32768,-532.10494,24,0.0003,0.097851563,53706.36469,0.986559153,0,-0.007512758,150,24661.70313,0.2,0.007714706,-15.45209138
599,58,17,34816,-530.14697,24,0.0003,0.082324219,52152.66022,0.981567323,0,-0.005718985,160,21375.88867,0.2,0.006858255,-15.41677532
638,57,18,36864,-530.38962,24,0.0003,0.088378906,50013.86853,0.978422582,0,-0.004763775,170,21245.09961,0.2,0.00779182,-15.36789298
675,57,19,38912,-528.38309,24,0.0003,0.097607422,49170.59191,0.980272055,1.79E-07,-0.007339803,180,21998.48242,0.2,0.008406687,-15.36605726
714,57,20,40960,-526.41731,24,0.0003,0.074804688,47433.46647,0.980076849,-1.19E-07,-0.004210182,190,22654.24609,0.2,0.007663535,-15.37544762
752,57,21,43008,-526.33445,24,0.0003,0.102099609,45420.80164,0.977693319,1.79E-07,-0.005450302,200,21714.29492,0.2,0.008637266,-15.35889847
790,57,22,45056,-531.20026,24,0.0003,0.092236328,44739.36847,0.976476252,0,-0.009602039,210,26438.5625,0.2,0.009296388,-15.33823544
829,56,23,47104,-526.49547,24,0.0003,0.117285156,44370.74785,0.973885357,5.96E-08,-0.00738694,220,20401.16992,0.2,0.008125196,-15.31849275
