time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_range
89,46,4096,24.0,2,-540.53097,0.0003,-0.0005642175674438477,78610.13275146484,0.097705078125,1.0034273862838745,-15.629223063588142,10,34687.89453125,0.009078814,-0.006839576715719886,0.2
88,69,6144,24.0,3,-541.2814,0.0003,3.3795833587646484e-05,76485.9443359375,0.07724609375,1.0016345977783203,-15.633742395043374,20,37717.8515625,0.006769348,-0.005912639320013113,0.2
83,98,8192,24.0,4,-537.50333,0.0003,1.4126300811767578e-05,75304.7798828125,0.066162109375,0.9970760941505432,-15.59804138839245,30,40649.24609375,0.0060067205,-0.005414415676204954,0.2
77,132,10240,24.0,5,-540.54107,0.0003,2.384185791015625e-07,72138.39001464844,0.0732421875,0.9979669451713562,-15.58006076514721,40,33019.71875,0.006458535,-0.005660731274110731,0.2
72,169,12288,24.0,6,-539.4551700000001,0.0003,0.0,71419.2947631836,0.100830078125,1.0023651123046875,-15.611030426621436,50,33585.03125,0.00806916,-0.006942124801571481,0.2
69,207,14336,24.0,7,-536.1054300000001,0.0003,0.0,69201.51337890625,0.062841796875,1.0016230344772339,-15.629286509752273,60,31984.966796875,0.0056747077,-0.0034343240127782337,0.2
66,246,16384,24.0,8,-535.90099,0.0003,1.1920928955078125e-07,66682.18580322266,0.071728515625,1.0034408569335938,-15.632394218444825,70,29782.5625,0.0069627305,-0.0046423871681327,0.2
64,286,18432,24.0,9,-534.74217,0.0003,0.0,65007.8322265625,0.064453125,1.0056066513061523,-15.658262646198272,80,33278.9921875,0.0066783316,-0.004670534543402027,0.2
62,326,20480,24.0,10,-532.69625,0.0003,0.0,63012.452856445314,0.0669921875,1.0069371461868286,-15.675161385536194,90,34839.12890625,0.00727351,-0.004868856687971856,0.2
61,366,22528,24.0,11,-532.99617,0.0003,-1.1920928955078125e-07,61031.09484863281,0.1076171875,1.0049288272857666,-15.667038887739182,100,29861.107421875,0.010041086,-0.007640764080861118,0.2
60,406,24576,24.0,12,-530.92182,0.0003,0.0,59509.07131347656,0.079345703125,1.0047314167022705,-15.654249256849289,110,32418.00390625,0.0060049226,-0.0033221520789084025,0.2
59,447,26624,24.0,13,-528.58304,0.0003,1.7881393432617188e-07,57523.71026611328,0.087841796875,1.0025653839111328,-15.6422833442688,120,27981.044921875,0.0063260724,-0.005707833511405624,0.2
58,488,28672,24.0,14,-524.39229,0.0003,0.0,55462.00236816406,0.069287109375,1.0023905038833618,-15.626236495375633,130,24192.181640625,0.0060962783,-0.003943461818562355,0.2
58,528,30720,24.0,15,-520.9547200000001,0.0003,0.0,52972.15294189453,0.095458984375,1.0006331205368042,-15.611748829483986,140,25342.15234375,0.008491758,-0.005372646856994834,0.2
57,568,32768,24.0,16,-525.0221500000001,0.0003,0.0,51294.08812255859,0.08232421875,0.9927467107772827,-15.553568825125694,150,23743.150390625,0.006734973,-0.0053457868649275046,0.2
