time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss
21,1,-542.7527882352942,2048,24.0,93,,,,,,,,,,,
44,2,-542.8276599999999,4096,24.0,92,0.07275390625,-15.621648091077805,1.0021417140960693,0.0003,0.0066865925,10,0.2,78883.68697509766,-6.592273712158203e-05,34597.3359375,-0.0066673887631623074
69,3,-541.1627400000001,6144,24.0,88,0.080517578125,-15.608766847848893,0.997927725315094,0.0003,0.006328334,20,0.2,77279.07021484376,1.1920928955078125e-07,38780.32421875,-0.005113164757494815
97,4,-539.9953099999999,8192,24.0,84,0.088818359375,-15.555561676621437,0.9935266375541687,0.0003,0.007130411,30,0.2,75212.80828857422,0.0,40770.71484375,-0.005228379975596909
126,5,-540.29885,10240,24.0,80,0.0990234375,-15.523879677057266,0.9918388724327087,0.0003,0.008137789,40,0.2,72809.89013671875,-1.1920928955078125e-07,32885.87109375,-0.008175945360562764
162,6,-539.07957,12288,24.0,75,0.093701171875,-15.510055205225944,0.9910621047019958,0.0003,0.007345412,50,0.2,71358.2332397461,0.0,33641.5703125,-0.006929120897257235
200,7,-537.3551799999999,14336,24.0,71,0.10166015625,-15.517930525541306,0.9927530884742737,0.0003,0.00865366,60,0.2,69344.67863769531,0.0,32161.001953125,-0.007443597390374634
238,8,-538.1437099999999,16384,24.0,68,0.07255859375,-15.509095335006714,0.9897649884223938,0.0003,0.0070421314,70,0.2,67088.13034667968,1.1920928955078125e-07,30269.443359375,-0.003686058803577907
278,9,-539.2295899999999,18432,24.0,66,0.087353515625,-15.490228232741355,0.9899901747703552,0.0003,0.0076074507,80,0.2,65752.69730224609,0.0,34058.8828125,-0.005702791502699256
317,10,-540.98903,20480,24.0,64,0.08251953125,-15.486625984311104,0.9885669350624084,0.0003,0.0069713923,90,0.2,64528.5693359375,0.0,35514.50390625,-0.003660951039637439
357,11,-537.03332,22528,24.0,62,0.10224609375,-15.487467077374458,0.9901967644691467,0.0003,0.0064789895,100,0.2,63132.383544921875,0.0,30729.802734375,-0.005662777333054691
396,12,-538.99722,24576,24.0,61,0.088623046875,-15.498782232403755,0.9904296398162842,0.0003,0.007858256,110,0.2,60591.795471191406,0.0,32818.3046875,-0.0047266800698707815
435,13,-537.59381,26624,24.0,61,0.11640625,-15.489366960525512,0.988990843296051,0.0003,0.00963534,120,0.2,59670.91271972656,-2.384185791015625e-07,29639.03125,-0.00855998959596036
473,14,-533.83428,28672,24.0,60,0.121240234375,-15.467710211873055,0.9869691729545593,0.0003,0.009422988,130,0.2,57478.314489746095,-1.1920928955078125e-07,25405.05078125,-0.00978133902826812
511,15,-530.8829799999999,30720,24.0,60,0.085791015625,-15.470057961344718,0.9888383746147156,0.0003,0.0075128386,140,0.2,55124.04068603516,1.7881393432617188e-07,26379.708984375,-0.004906932910671458
550,16,-528.3861400000001,32768,24.0,59,0.098681640625,-15.466457056999207,0.9865295886993408,0.0003,0.008622987,150,0.2,53317.821557617186,1.1920928955078125e-07,24833.802734375,-0.007011518347280798
588,17,-524.8400999999999,34816,24.0,59,0.109716796875,-15.455152437090874,0.9864413738250732,0.0003,0.00874847,160,0.2,51469.986547851564,1.1920928955078125e-07,20805.603515625,-0.008309655318589649
627,18,-522.36616,36864,24.0,58,0.129736328125,-15.443564969301224,0.9846111536026001,0.0003,0.009089122,170,0.2,49107.780749511716,1.1920928955078125e-07,21296.412109375,-0.008702625133446417
665,19,-519.23276,38912,24.0,58,0.1037109375,-15.434391182661056,0.9853229522705078,0.0003,0.008190152,180,0.2,47839.05085449219,0.0,21534.693359375,-0.006202136376668932
703,20,-521.61902,40960,24.0,58,0.1208984375,-15.439498800039292,0.9857791662216187,0.0003,0.010403298,190,0.2,45635.36682128906,0.0,22033.283203125,-0.006326423118298408
743,21,-517.40905,43008,24.0,57,0.116650390625,-15.419354298710823,0.9822469353675842,0.0003,0.010348354,200,0.2,44989.549633789065,0.0,21350.99609375,-0.00824163491051877
781,22,-517.9615,45056,24.0,57,0.13271484375,-15.382332757115364,0.979213297367096,0.0003,0.010915463,210,0.2,43003.59870605469,0.0,25238.02734375,-0.006526624942489434
820,23,-517.2416000000001,47104,24.0,57,0.129345703125,-15.355422127246857,0.9779548048973083,0.0003,0.0099498285,220,0.2,42085.595458984375,0.0,19103.3203125,-0.009356667123211083
859,24,-512.72175,49152,24.0,57,0.116845703125,-15.360084226727485,0.9790406823158264,0.0003,0.011122139,230,0.2,40546.60703735352,0.0,16764.626953125,-0.005198533249495085
899,25,-512.52598,51200,24.0,56,0.133056640625,-15.383253225684166,0.9822537899017334,0.0003,0.015665974,240,0.2,38819.48909912109,0.0,18240.30859375,-0.006805863023328129
939,26,-506.98996000000005,53248,24.0,56,0.1103515625,-15.404642087221145,0.983467161655426,0.0003,0.00951642,250,0.2,37520.98350219727,0.0,18625.4609375,-0.004616400101804174
979,27,-503.76435999999995,55296,24.0,56,0.129541015625,-15.369067391753196,0.9771724343299866,0.0003,0.009681732,260,0.2,35673.26997680664,0.0,15233.212890625,-0.00596912819892168
1020,28,-500.51797,57344,24.0,56,0.129736328125,-15.330038431286813,0.9755842685699463,0.0003,0.011760399,270,0.2,34285.98486938477,0.0,15991.0029296875,-0.007880268259032163
