time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/std,train/loss,train/entropy_loss
21,1,-540.1974823529412,94,24.0,2048,,,,,,,,,,,
45,2,-542.64343,90,24.0,4096,0.0011359453201293945,0.0064286063,-0.0047888196422718465,78212.535546875,0.06552734375,10,0.2,0.0003,0.9969078302383423,33695.92578125,-15.589368632435798
75,3,-544.6355599999999,81,24.0,6144,2.384185791015625e-07,0.006591028,-0.005111766859772615,77373.59200439454,0.068505859375,20,0.2,0.0003,0.9933434128761292,38442.45703125,-15.551289564371109
111,4,-542.02503,73,24.0,8192,0.0,0.007399642,-0.004851600818801672,75844.1388671875,0.0767578125,30,0.2,0.0003,0.9932664632797241,41061.48046875,-15.535655891895294
149,5,-539.7544800000001,68,24.0,10240,2.384185791015625e-07,0.007911186,-0.0053198783672996795,73481.08489990234,0.080419921875,40,0.2,0.0003,0.9913768768310547,33359.84765625,-15.519163849949837
188,6,-541.48084,65,24.0,12288,0.0,0.008557243,-0.004363178700441494,70737.60815429688,0.068359375,50,0.2,0.0003,0.9955719113349915,33351.30078125,-15.536647641658783
227,7,-542.28549,63,24.0,14336,1.1920928955078125e-07,0.0079225935,-0.0065440200734883545,69827.93374023438,0.080908203125,60,0.2,0.0003,0.9986534714698792,32642.544921875,-15.57819045484066
265,8,-544.0281899999999,61,24.0,16384,0.0,0.0067102383,-0.004752885110792704,68151.50877685547,0.081201171875,70,0.2,0.0003,0.9982244968414307,31033.8828125,-15.590603119134903
303,9,-541.69421,60,24.0,18432,-2.384185791015625e-07,0.008438662,-0.007020325543271611,66847.25023193359,0.101513671875,80,0.2,0.0003,1.0022259950637817,34503.86328125,-15.614042693376541
342,10,-541.12166,59,24.0,20480,0.0,0.008106096,-0.00369502322137123,64428.525,0.061767578125,90,0.2,0.0003,0.9965186715126038,35413.48828125,-15.598667985200882
380,11,-539.24763,59,24.0,22528,-1.1920928955078125e-07,0.007465982,-0.0077142711641499774,62922.60502929687,0.102294921875,100,0.2,0.0003,0.9983621835708618,30969.876953125,-15.580514308810233
420,12,-534.47116,58,24.0,24576,0.0,0.008727482,-0.010087330860551446,60607.51473388672,0.119921875,110,0.2,0.0003,0.9949315786361694,32781.921875,-15.570039007067681
459,13,-535.3940200000001,57,24.0,26624,0.0,0.00830169,-0.007204913184978068,58561.74409179688,0.091064453125,120,0.2,0.0003,0.9938700199127197,28919.76953125,-15.541537845134735
497,14,-534.5857899999999,57,24.0,28672,0.0,0.008175514,-0.007106946881685871,56872.143493652344,0.10517578125,130,0.2,0.0003,0.9970199465751648,25097.98046875,-15.55742517709732
535,15,-534.0275300000001,57,24.0,30720,-2.384185791015625e-07,0.005974261,-0.006449563243950252,55225.33544921875,0.090185546875,140,0.2,0.0003,0.9949102401733398,26341.380859375,-15.565568095445633
573,16,-528.99905,57,24.0,32768,0.0,0.010412673,-0.008881218379247002,54134.29661865234,0.11796875,150,0.2,0.0003,0.9965308904647827,24646.732421875,-15.560255014896393
