time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/n_updates,train/critic_loss
96,1,4,-31562.766499999998,67,24.0,,,,,,
192,4,8,-34966.578125,40,24.0,1.0235587358474731,0.0003,-2.2573490142822266,2601.056884765625,91,206426.0625
288,8,12,-38442.771,35,24.0,1.0506840944290161,0.0003,-4.927190780639648,3373.573486328125,187,298042.375
384,11,16,-40257.720375,32,24.0,1.0799404382705688,0.0003,-7.686476230621338,3971.629638671875,283,710716.8125
480,15,20,-33718.96435,30,24.0,1.110914945602417,0.0003,-10.568716049194336,4057.37890625,379,698082.375
576,19,24,-30643.399708333338,30,24.0,1.1428450345993042,0.0003,-13.232816696166992,4553.7548828125,475,2928573.5
672,22,28,-26864.786892857144,29,24.0,1.1752499341964722,0.0003,-15.619644165039062,4522.31201171875,571,963053.875
768,26,32,-24523.4708125,29,24.0,1.2080923318862915,0.0003,-18.288368225097656,4960.1826171875,667,2379818.0
864,30,36,-23196.32722222222,28,24.0,1.242196798324585,0.0003,-20.81231689453125,5377.484375,763,1319604.25
960,34,40,-22045.89675,28,24.0,1.27743661403656,0.0003,-23.166303634643555,5252.2822265625,859,1159754.25
1056,37,44,-20924.780931818183,27,24.0,1.3135193586349487,0.0003,-25.103670120239258,5138.68017578125,955,1299121.75
1152,41,48,-19941.61325,27,24.0,1.3501036167144775,0.0003,-28.242530822753906,5980.35888671875,1051,1395582.5
1248,45,52,-19008.35969230769,27,24.0,1.3873248100280762,0.0003,-29.267229080200195,6287.29638671875,1147,972097.125
1344,49,56,-18410.189839285715,27,24.0,1.4253381490707397,0.0003,-31.385419845581055,6250.57080078125,1243,893464.5
1440,52,60,-17664.54023333333,27,24.0,1.4629197120666504,0.0003,-32.069766998291016,6933.111328125,1339,1443959.625
1536,56,64,-17673.206484375,27,24.0,1.4872105121612549,0.0003,5.977710247039795,6189.4609375,1435,956046.75
1632,60,68,-17681.379970588234,26,24.0,1.481381893157959,0.0003,3.383690357208252,6367.9580078125,1531,943530.625
1728,64,72,-17145.039416666667,26,24.0,1.4773399829864502,0.0003,3.1249027252197266,7028.7451171875,1627,867995.8125
1824,68,76,-16608.37335526316,26,24.0,1.4738022089004517,0.0003,2.248612642288208,7307.068359375,1723,1257632.0
1920,72,80,-16078.845087499998,26,24.0,1.470703363418579,0.0003,1.8791275024414062,7202.666015625,1819,915565.875
2016,76,84,-15557.955202380952,26,24.0,1.4680585861206055,0.0003,0.7815347909927368,6823.41650390625,1915,962079.5
2112,80,88,-15046.359420454544,26,24.0,1.4658783674240112,0.0003,1.3964625597000122,7165.9580078125,2011,1607947.0
2208,84,92,-14588.409826086956,26,24.0,1.4641625881195068,0.0003,0.7609310150146484,7082.89599609375,2107,1365640.0
2304,88,96,-14127.76078125,25,24.0,1.4630515575408936,0.0003,0.6132485866546631,6942.9052734375,2203,973665.875
2400,92,100,-13722.048579999997,25,24.0,1.4624155759811401,0.0003,-0.003805922344326973,6941.66845703125,2299,878806.0625
2496,96,104,-12586.121439999999,25,24.0,1.462363600730896,0.0003,-0.355756938457489,7136.19921875,2395,1160541.0
