time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/n_updates
68,4,-30693.815499999997,1,24.0,96,,,,,,
38,8,-31125.437875000003,5,24.0,192,457615.8125,-2.297938108444214,2477.674072265625,1.0235841274261475,0.0003,91
33,12,-23880.433583333335,8,24.0,288,192639.84375,-4.941253662109375,2234.497314453125,1.0508015155792236,0.0003,187
31,16,-22458.09525,12,24.0,384,551273.625,-7.87209939956665,2573.98779296875,1.0802401304244995,0.0003,283
30,20,-21490.055149999997,15,24.0,480,250122.734375,-10.381148338317871,2772.470947265625,1.110933542251587,0.0003,379
29,24,-23261.571041666666,19,24.0,576,726435.4375,-13.40464973449707,3441.621337890625,1.1427278518676758,0.0003,475
29,28,-23180.957642857138,23,24.0,672,753384.0,-16.209394454956055,3767.93603515625,1.1757146120071411,0.0003,571
28,32,-22601.0590625,26,24.0,768,957145.6875,-19.201496124267578,4452.25830078125,1.209417700767517,0.0003,667
28,36,-22642.850027777782,30,24.0,864,1045424.375,-21.89385223388672,5193.2939453125,1.2441012859344482,0.0003,763
28,40,-22223.24685,34,24.0,960,898017.5,-24.744979858398438,5068.1142578125,1.2802397012710571,0.0003,859
27,44,-21179.692090909088,38,24.0,1056,851979.25,-27.107439041137695,4987.08154296875,1.3174662590026855,0.0003,955
27,48,-20355.710125,41,24.0,1152,1417008.5,-29.99476432800293,5021.6728515625,1.3557097911834717,0.0003,1051
27,52,-19154.443499999998,45,24.0,1248,1090234.25,-33.30732727050781,6172.16650390625,1.395063877105713,0.0003,1147
27,56,-17916.75725,49,24.0,1344,1061693.375,-36.544700622558594,6058.45361328125,1.4358394145965576,0.0003,1243
27,60,-16851.53418333333,53,24.0,1440,1517308.25,-39.32968521118164,5677.51318359375,1.4778172969818115,0.0003,1339
26,64,-15881.82665625,57,24.0,1536,976672.9375,-42.45671081542969,5788.47265625,1.5211254358291626,0.0003,1435
26,68,-15017.402455882353,61,24.0,1632,1118654.75,-44.77068328857422,5715.876953125,1.5656088590621948,0.0003,1531
26,72,-14219.775763888889,65,24.0,1728,848963.0,-47.87527847290039,6326.419921875,1.6113733053207397,0.0003,1627
26,76,-13522.04857894737,69,24.0,1824,899418.375,-50.4218864440918,6374.3037109375,1.6582871675491333,0.0003,1723
26,80,-12859.7218375,73,24.0,1920,1258883.0,-52.05263137817383,5826.0078125,1.706243872642517,0.0003,1819
26,84,-12303.27380952381,77,24.0,2016,1049943.75,-53.2879753112793,6200.49169921875,1.7544922828674316,0.0003,1915
25,88,-11818.233545454546,81,24.0,2112,970150.5,-55.207733154296875,6911.3974609375,1.8025339841842651,0.0003,2011
25,92,-11420.882521739131,85,24.0,2208,1621235.0,-52.19297409057617,6128.95703125,1.850263237953186,0.0003,2107
25,96,-11113.213885416668,89,24.0,2304,1109299.5,-48.215999603271484,6762.40380859375,1.895009160041809,0.0003,2203
25,100,-10835.570110000002,93,24.0,2400,1015319.25,-37.08489990234375,6463.40966796875,1.9331080913543701,0.0003,2299
25,104,-9729.424420000001,97,24.0,2496,1528689.0,-24.523176193237305,6036.0859375,1.964284896850586,0.0003,2395
25,108,-8592.941139999999,101,24.0,2592,935677.75,1.7193336486816406,5968.7275390625,1.9736437797546387,0.0003,2491
25,112,-8375.71906,105,24.0,2688,1002939.625,1.2558165788650513,6168.3349609375,1.9724997282028198,0.0003,2587
25,116,-7755.60333,109,24.0,2784,1125479.0,0.1349402666091919,6066.2373046875,1.9713311195373535,0.0003,2683
25,120,-7154.251150000001,113,24.0,2880,991403.9375,-0.031608909368515015,6166.50537109375,1.970533013343811,0.0003,2779
25,124,-5947.652590000001,117,24.0,2976,1370581.75,0.6485896706581116,6517.431640625,1.970102310180664,0.0003,2875
25,128,-5141.0238899999995,121,24.0,3072,886559.5,-0.025570489466190338,5830.36767578125,1.9701793193817139,0.0003,2971
25,132,-4507.53476,126,24.0,3168,950352.25,0.7309737801551819,6376.0361328125,1.970698595046997,0.0003,3067
25,136,-3691.0568599999997,130,24.0,3264,794675.375,0.20542564988136292,5556.58203125,1.9716488122940063,0.0003,3163
24,140,-3085.69861,134,24.0,3360,1093615.5,-0.7996577620506287,5736.0107421875,1.972989559173584,0.0003,3259
24,144,-2765.32985,138,24.0,3456,1140312.125,-1.6124179363250732,6128.52294921875,1.9747161865234375,0.0003,3355
24,148,-2419.04928,143,24.0,3552,2508391.0,-1.8848187923431396,5479.15234375,1.97686767578125,0.0003,3451
24,152,-2317.6766699999994,147,24.0,3648,1419855.25,-1.898718237876892,5373.5927734375,1.9793756008148193,0.0003,3547
24,156,-2342.13073,151,24.0,3744,1631858.75,-1.2530407905578613,5583.42626953125,1.9822670221328735,0.0003,3643
24,160,-2389.00886,156,24.0,3840,1476657.875,-1.8645282983779907,5475.78857421875,1.985689401626587,0.0003,3739
24,164,-2440.0668100000003,160,24.0,3936,1913223.75,-0.9204405546188354,5310.78271484375,1.9895211458206177,0.0003,3835
24,168,-2490.57313,164,24.0,4032,1055781.625,-2.6423497200012207,5293.55078125,1.9937037229537964,0.0003,3931
24,172,-2580.8062200000004,168,24.0,4128,2040772.875,-2.4085235595703125,5059.7802734375,1.9981679916381836,0.0003,4027
24,176,-2644.81059,172,24.0,4224,1212958.0,-2.030435800552368,5350.9833984375,2.002833843231201,0.0003,4123
24,180,-2729.9071199999994,176,24.0,4320,1203094.875,-1.3397798538208008,5128.88427734375,2.007755756378174,0.0003,4219
24,184,-2803.13003,181,24.0,4416,1057870.25,-2.5500240325927734,5104.892578125,2.0130932331085205,0.0003,4315
24,188,-2848.1760000000004,185,24.0,4512,1911803.25,-1.620152235031128,4801.634765625,2.018580436706543,0.0003,4411
24,192,-2866.97021,189,24.0,4608,1123789.0,-2.458883762359619,5405.56396484375,2.0246405601501465,0.0003,4507
24,196,-2840.17506,194,24.0,4704,2509391.75,-2.7435214519500732,4456.10400390625,2.031161069869995,0.0003,4603
24,200,-2799.88927,198,24.0,4800,2503049.0,-3.139420509338379,4088.10791015625,2.0381362438201904,0.0003,4699
24,204,-2798.110720000001,203,24.0,4896,1199264.25,-0.7004204988479614,3788.15234375,2.045287609100342,0.0003,4795
24,208,-2798.0863799999993,207,24.0,4992,638647.25,-1.683018445968628,4149.35302734375,2.0524115562438965,0.0003,4891
24,212,-2768.6975699999994,211,24.0,5088,2967331.0,-1.8076844215393066,4348.77880859375,2.060011386871338,0.0003,4987
23,216,-2771.45437,216,24.0,5184,835703.8125,-2.4471852779388428,3996.557861328125,2.0678582191467285,0.0003,5083
23,220,-2803.22839,220,24.0,5280,1943278.0,-1.1484640836715698,4252.4521484375,2.07576060295105,0.0003,5179
23,224,-2852.1762000000003,225,24.0,5376,1097136.25,-2.167992115020752,3790.05615234375,2.083874225616455,0.0003,5275
23,228,-2863.0975600000006,229,24.0,5472,1933882.625,-1.4617232084274292,4014.700439453125,2.0917000770568848,0.0003,5371
23,232,-2881.3552800000007,233,24.0,5568,1118189.0,-2.159658193588257,3609.044921875,2.100224018096924,0.0003,5467
23,236,-2904.7905699999997,238,24.0,5664,671730.0,-1.4866687059402466,3738.95556640625,2.1091837882995605,0.0003,5563
23,240,-2886.59522,242,24.0,5760,1120437.375,-1.2931311130523682,3546.53173828125,2.117572546005249,0.0003,5659
23,244,-2918.571479999999,247,24.0,5856,1654084.75,-1.7475825548171997,3711.058837890625,2.1262314319610596,0.0003,5755
23,248,-2927.6868299999996,251,24.0,5952,867023.75,-1.2242841720581055,3300.5830078125,2.135570764541626,0.0003,5851
23,252,-2966.5633500000004,257,24.0,6048,1151903.75,-1.6717911958694458,3619.08642578125,2.1446306705474854,0.0003,5947
23,256,-3001.9861999999994,261,24.0,6144,1406813.75,-2.096320629119873,3494.912841796875,2.153212070465088,0.0003,6043
23,260,-3020.2958100000005,265,24.0,6240,2008231.75,-1.2900810241699219,2864.439453125,2.1620683670043945,0.0003,6139
23,264,-3052.8896200000004,270,24.0,6336,914551.75,-1.2434515953063965,3512.998046875,2.1702733039855957,0.0003,6235
23,268,-3093.5229999999992,275,24.0,6432,1171808.25,-1.0706897974014282,2885.696044921875,2.177682399749756,0.0003,6331
23,272,-3115.666510000001,279,24.0,6528,407070.78125,-0.6704975366592407,3353.000732421875,2.185401678085327,0.0003,6427
23,276,-3156.2773400000005,283,24.0,6624,3860823.5,-0.8086161017417908,2778.78857421875,2.192538261413574,0.0003,6523
23,280,-3190.3145600000003,287,24.0,6720,1207201.375,-1.9718666076660156,3178.969482421875,2.199622631072998,0.0003,6619
23,284,-3210.8318700000004,291,24.0,6816,3056157.5,-1.145258903503418,3347.1181640625,2.2060885429382324,0.0003,6715
23,288,-3241.1765900000005,296,24.0,6912,4237082.0,-0.9508108496665955,2841.674072265625,2.2121381759643555,0.0003,6811
23,292,-3258.25091,302,24.0,7008,1262476.875,-1.0808138847351074,2543.532958984375,2.2181434631347656,0.0003,6907
23,296,-3273.782010000001,308,24.0,7104,1210072.5,-0.7645736336708069,2302.09130859375,2.2242045402526855,0.0003,7003
22,300,-3313.428300000001,313,24.0,7200,1167308.75,0.18700332939624786,3003.26806640625,2.2297682762145996,0.0003,7099
22,304,-3342.8795299999992,317,24.0,7296,814628.3125,-0.6223903894424438,2829.658447265625,2.235123872756958,0.0003,7195
22,308,-3364.3804099999998,322,24.0,7392,1608531.25,0.45851045846939087,2710.759765625,2.239114761352539,0.0003,7291
22,312,-3399.3324900000002,326,24.0,7488,2493939.0,-0.19777874648571014,2540.279052734375,2.2423906326293945,0.0003,7387
22,316,-3426.44924,331,24.0,7584,1093550.0,-0.07471698522567749,2725.09423828125,2.245655059814453,0.0003,7483
22,320,-3433.98293,335,24.0,7680,290824.25,-0.32759326696395874,2503.422119140625,2.2485198974609375,0.0003,7579
22,324,-3457.754869999999,339,24.0,7776,1082491.5,0.34885725378990173,2276.936767578125,2.250993251800537,0.0003,7675
22,328,-3501.8903199999995,344,24.0,7872,727212.875,0.1610659658908844,2198.802978515625,2.253089189529419,0.0003,7771
22,332,-3523.397569999999,348,24.0,7968,1347356.75,-0.13671457767486572,3192.51708984375,2.2532753944396973,0.0003,7867
22,336,-3544.08082,352,24.0,8064,217890.09375,1.2997899055480957,2578.513671875,2.254804849624634,0.0003,7963
22,340,-3589.13442,357,24.0,8160,637244.0,-1.17106294631958,2058.443359375,2.254361152648926,0.0003,8059
22,344,-3606.4000899999996,361,24.0,8256,316346.9375,-0.0044105276465415955,2650.280517578125,2.2558515071868896,0.0003,8155
22,348,-3624.0155,365,24.0,8352,306006.9375,1.0261949300765991,2160.300048828125,2.256047010421753,0.0003,8251
22,352,-3625.180009999999,369,24.0,8448,226728.5,0.26679593324661255,2709.310302734375,2.256991386413574,0.0003,8347
22,356,-3638.8104,374,24.0,8544,449956.75,0.17548520863056183,2415.926513671875,2.2593326568603516,0.0003,8443
22,360,-3639.77638,378,24.0,8640,784311.75,0.9335744976997375,2957.365234375,2.2604761123657227,0.0003,8539
22,364,-3665.43352,383,24.0,8736,685222.875,0.3612426519393921,2549.4052734375,2.2595744132995605,0.0003,8635
22,368,-3669.0635899999993,387,24.0,8832,1091395.75,-1.1930766105651855,2818.87646484375,2.26074481010437,0.0003,8731
22,372,-3686.89769,392,24.0,8928,195473.75,-0.3093573749065399,2632.092529296875,2.2609918117523193,0.0003,8827
22,376,-3697.87956,396,24.0,9024,1075010.75,-0.2695448398590088,2563.89111328125,2.2621915340423584,0.0003,8923
22,380,-3713.33844,400,24.0,9120,944491.6875,0.5365867614746094,2567.77099609375,2.261768341064453,0.0003,9019
22,384,-3748.7400100000004,405,24.0,9216,215446.78125,0.2975464463233948,2174.67041015625,2.259812593460083,0.0003,9115
22,388,-3766.4827800000003,409,24.0,9312,1388274.75,0.04652401804924011,2176.29541015625,2.2572953701019287,0.0003,9211
22,392,-3776.6932099999995,413,24.0,9408,1072197.5,-0.17179588973522186,2561.683349609375,2.2554244995117188,0.0003,9307
22,396,-3786.78841,418,24.0,9504,1098623.25,2.1160736083984375,2357.9853515625,2.253157615661621,0.0003,9403
22,400,-3795.60635,422,24.0,9600,419217.125,0.8216773867607117,3169.977294921875,2.2486400604248047,0.0003,9499
22,404,-3805.7851499999997,426,24.0,9696,1550067.0,0.183122456073761,2419.3330078125,2.245460271835327,0.0003,9595
22,408,-3813.6942,431,24.0,9792,160032.28125,-0.5651349425315857,2493.121337890625,2.2430520057678223,0.0003,9691
22,412,-3809.200750000001,435,24.0,9888,164516.96875,0.8883327841758728,1789.6910400390625,2.234400987625122,0.0003,9787
22,416,-3825.3215299999993,439,24.0,9984,131507.125,0.8391435146331787,2515.545654296875,2.225038528442383,0.0003,9883
22,420,-3857.2294,443,24.0,10080,336028.0,0.5068204402923584,2208.336181640625,2.208747148513794,0.0003,9979
22,424,-3863.8020500000002,447,24.0,10176,210780.84375,-0.41292163729667664,2434.330078125,2.192931652069092,0.0003,10075
22,428,-3866.9660500000005,451,24.0,10272,602474.25,0.7731616497039795,2178.70166015625,2.176985502243042,0.0003,10171
22,432,-3875.5782499999996,456,24.0,10368,255883.875,0.5823554396629333,2695.35107421875,2.162325143814087,0.0003,10267
22,436,-3882.07357,460,24.0,10464,589828.375,0.2589847445487976,2290.1181640625,2.1508774757385254,0.0003,10363
22,440,-3870.1964300000004,464,24.0,10560,215598.0,-0.6464900374412537,2550.8427734375,2.1389169692993164,0.0003,10459
22,444,-3870.0833800000005,468,24.0,10656,300874.71875,-0.38806408643722534,2296.672607421875,2.129079818725586,0.0003,10555
22,448,-3902.6893999999993,472,24.0,10752,231816.765625,0.20931053161621094,2725.016845703125,2.1247270107269287,0.0003,10651
22,452,-3912.0368399999993,476,24.0,10848,501156.5625,0.27152934670448303,2284.3232421875,2.1161739826202393,0.0003,10747
22,456,-3932.5481800000002,480,24.0,10944,194842.140625,0.7367823719978333,2036.38134765625,2.111563205718994,0.0003,10843
22,460,-3945.7264200000004,485,24.0,11040,214385.875,0.04580077528953552,2344.78564453125,2.1030657291412354,0.0003,10939
22,464,-3930.13187,489,24.0,11136,436180.40625,-0.24481716752052307,2570.389892578125,2.0967350006103516,0.0003,11035
22,468,-3939.239380000001,493,24.0,11232,532672.4375,0.4849788546562195,2145.94091796875,2.089578151702881,0.0003,11131
22,472,-3952.3317500000003,497,24.0,11328,70950.796875,0.17814186215400696,2151.562255859375,2.0813229084014893,0.0003,11227
22,476,-3940.8865200000014,502,24.0,11424,430495.875,0.7691140174865723,2243.376953125,2.0749025344848633,0.0003,11323
22,480,-3949.5087900000008,507,24.0,11520,1111711.25,-0.06307080388069153,2048.48193359375,2.070815086364746,0.0003,11419
22,484,-3921.8283300000003,512,24.0,11616,351555.625,1.057861566543579,2257.17578125,2.0614941120147705,0.0003,11515
