time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss
4,68,1,-32398.40275,96,24.0,,,,,,
8,39,4,-40448.584625,192,24.0,2702.422119140625,91,-2.255896806716919,1.0230798721313477,0.0003,169055.53125
12,33,8,-38382.947250000005,288,24.0,3021.1982421875,187,-4.893870830535889,1.0499452352523804,0.0003,191072.359375
16,31,12,-34407.781312499996,384,24.0,3215.28369140625,283,-7.572506427764893,1.0787937641143799,0.0003,624782.375
20,30,15,-36600.638999999996,480,24.0,4215.34130859375,379,-10.480960845947266,1.1092807054519653,0.0003,607297.4375
24,29,19,-36630.298083333335,576,24.0,4713.80712890625,475,-13.38074779510498,1.141237497329712,0.0003,1338379.125
28,28,23,-33394.43578571429,672,24.0,5016.1982421875,571,-16.326995849609375,1.1743148565292358,0.0003,1261002.125
32,28,26,-31088.8834375,768,24.0,5399.39111328125,667,-19.217138290405273,1.2082070112228394,0.0003,1182648.875
36,28,30,-28822.457,864,24.0,6296.0048828125,763,-21.838674545288086,1.2431821823120117,0.0003,1852258.0
40,27,34,-26170.543400000002,960,24.0,5923.9921875,859,-24.64212417602539,1.2788183689117432,0.0003,1462862.375
44,27,38,-24059.160704545455,1056,24.0,5533.13037109375,955,-26.709156036376953,1.3155192136764526,0.0003,1348259.0
48,27,42,-22176.3985,1152,24.0,5499.8486328125,1051,-29.67667579650879,1.3530817031860352,0.0003,1449607.0
52,26,46,-20584.77015384616,1248,24.0,6389.3974609375,1147,-32.693580627441406,1.3917930126190186,0.0003,1024631.875
56,26,50,-19255.162839285713,1344,24.0,5990.9033203125,1243,-35.95724105834961,1.432119369506836,0.0003,828984.5
60,26,54,-18071.633699999995,1440,24.0,6032.7802734375,1339,-37.86775207519531,1.4731037616729736,0.0003,1245239.375
64,26,58,-17025.971015625,1536,24.0,6466.7119140625,1435,-39.371368408203125,1.514494776725769,0.0003,927540.0
68,26,61,-16164.24486764706,1632,24.0,6005.48291015625,1531,-39.27942657470703,1.5554695129394531,0.0003,874088.5
72,26,65,-15402.254861111112,1728,24.0,6409.23486328125,1627,-37.604774475097656,1.595961570739746,0.0003,846890.75
76,26,69,-14803.569368421055,1824,24.0,6584.46484375,1723,-19.813419342041016,1.6254892349243164,0.0003,1171913.75
80,26,73,-14225.279700000003,1920,24.0,5978.982421875,1819,2.9999890327453613,1.6332427263259888,0.0003,1362812.875
84,25,77,-13659.572630952383,2016,24.0,5282.15576171875,1915,2.3391170501708984,1.6311914920806885,0.0003,1203920.25
88,25,82,-13137.706715909093,2112,24.0,6430.61328125,2011,1.5443904399871826,1.6293082237243652,0.0003,1261741.5
92,25,86,-12684.756554347825,2208,24.0,6094.6044921875,2107,-0.018851757049560547,1.6278860569000244,0.0003,1324760.75
96,25,89,-12268.279708333333,2304,24.0,5968.2080078125,2203,0.25189709663391113,1.6270426511764526,0.0003,1040473.875
100,25,94,-11866.04621,2400,24.0,6362.75390625,2299,-0.5728117823600769,1.626623511314392,0.0003,1123036.0
104,25,98,-10654.228629999996,2496,24.0,5640.16064453125,2395,-1.037642478942871,1.6266978979110718,0.0003,1067288.125
108,25,102,-8786.61594,2592,24.0,5565.71923828125,2491,-0.2458285689353943,1.627231240272522,0.0003,1037946.75
112,25,106,-7493.27664,2688,24.0,5807.61474609375,2587,-0.7327499389648438,1.6282007694244385,0.0003,1034262.75
116,25,110,-6673.897830000001,2784,24.0,5715.7216796875,2683,-1.0280940532684326,1.6297575235366821,0.0003,1241101.375
120,25,114,-4925.77887,2880,24.0,5759.3251953125,2779,-1.4101290702819824,1.6317932605743408,0.0003,1771109.75
124,24,119,-3523.6060200000006,2976,24.0,6033.6611328125,2875,-1.302760124206543,1.6343090534210205,0.0003,1396488.5
128,24,123,-3032.0622099999996,3072,24.0,5176.3486328125,2971,-1.5873875617980957,1.6374382972717285,0.0003,828863.625
132,24,128,-2485.85292,3168,24.0,6137.646484375,3067,-1.2500483989715576,1.641149640083313,0.0003,714365.9375
136,24,133,-2115.24168,3264,24.0,5164.8720703125,3163,-0.8017841577529907,1.6455600261688232,0.0003,1412588.75
140,24,137,-2088.1907400000005,3360,24.0,4985.3447265625,3259,-1.8704347610473633,1.65059494972229,0.0003,457951.875
144,24,141,-2028.48874,3456,24.0,5843.83056640625,3355,-2.5323307514190674,1.6560310125350952,0.0003,1844911.75
148,24,146,-2030.0515800000003,3552,24.0,5038.5,3451,-2.61985445022583,1.662015438079834,0.0003,2085435.5
152,24,150,-2022.2427800000005,3648,24.0,4421.61669921875,3547,-2.678123712539673,1.6683605909347534,0.0003,699000.25
