time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/is_line_search_success,train/learning_rate,train/explained_variance,train/policy_objective,train/value_loss,train/n_updates,train/kl_divergence_loss,train/std
37,24.0,1,54,-541.9666117647058,2048,,,,,,,,
76,24.0,2,53,-541.3227199999999,4096,1.0,0.001,0.0008509159088134766,0.04188700392842293,77230.41909179688,1,0.007447856478393078,1.0084339380264282
115,24.0,3,53,-539.7869,6144,1.0,0.001,0.0,0.03747188672423363,74496.55615234375,2,0.006018504966050386,1.0063307285308838
154,24.0,4,52,-532.68882,8192,1.0,0.001,1.1920928955078125e-07,0.031076986342668533,71337.36779785156,3,0.007261201739311218,1.029548168182373
193,24.0,5,52,-529.84274,10240,1.0,0.001,0.0,0.029819877818226814,66482.91394042969,4,0.0037364664021879435,1.0356616973876953
233,24.0,6,52,-530.6218600000001,12288,1.0,0.001,0.0,0.04723571613430977,63520.089599609375,5,0.007421830669045448,1.0490103960037231
272,24.0,7,52,-532.74616,14336,1.0,0.001,1.7881393432617188e-07,0.03366070240736008,61142.73288574219,6,0.004999618977308273,1.0558663606643677
311,24.0,8,52,-537.14446,16384,1.0,0.001,1.1920928955078125e-07,0.0397547222673893,59135.96887207031,7,0.007446150295436382,1.045845866203308
349,24.0,9,52,-535.5979899999999,18432,1.0,0.001,0.0,0.053308892995119095,57977.756103515625,8,0.00842827558517456,1.0567092895507812
388,24.0,10,52,-529.1296100000001,20480,1.0,0.001,0.0,0.04929115250706673,55018.9484375,9,0.00803706981241703,1.060287356376648
427,24.0,11,52,-528.8968799999999,22528,1.0,0.001,0.0,0.02714073657989502,51308.94497070312,10,0.007252147886902094,1.0563002824783325
466,24.0,12,52,-522.45929,24576,1.0,0.001,1.7881393432617188e-07,0.03238701820373535,49585.5001953125,11,0.006991847883909941,1.055094599723816
503,24.0,13,52,-513.8817,26624,1.0,0.001,0.0,0.07394272834062576,46300.208715820314,12,0.008336309343576431,1.0842677354812622
541,24.0,14,52,-503.87106,28672,1.0,0.001,1.1920928955078125e-07,0.05185430124402046,42866.3490234375,13,0.008555098436772823,1.0853391885757446
580,24.0,15,52,-502.5379500000001,30720,1.0,0.001,-2.384185791015625e-07,0.04531464725732803,39526.09063720703,14,0.007379948627203703,1.0903499126434326
618,24.0,16,52,-508.44215999999994,32768,1.0,0.001,-1.1920928955078125e-07,0.0524783730506897,38519.95556640625,15,0.007294578477740288,1.1071711778640747
