rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/learning_rate,train/std
-541.8183882352942,24.0,54,37,2048,1,,,,,,,,
-538.10551,24.0,54,75,4096,2,77388.40715332031,-0.00408625602722168,1.0,1,0.006070241332054138,0.040274932980537415,0.001,1.024552583694458
-533.26341,24.0,54,113,6144,3,73610.87336425782,0.0,1.0,2,0.0053637949749827385,0.033300478011369705,0.001,1.004178762435913
-530.9594500000001,24.0,53,152,8192,4,69948.4671875,0.0,1.0,3,0.006150601431727409,0.04708414524793625,0.001,0.9912746548652649
-527.37592,24.0,53,190,10240,5,66515.94357910156,1.1920928955078125e-07,1.0,4,0.006608153693377972,0.05075353756546974,0.001,1.002608299255371
-529.52383,24.0,53,228,12288,6,63180.49064941406,0.0,1.0,5,0.007153537590056658,0.054875317960977554,0.001,1.0096435546875
-523.05299,24.0,53,266,14336,7,61157.45842285156,1.7881393432617188e-07,1.0,6,0.00585781317204237,0.043189048767089844,0.001,1.0035200119018555
-522.36109,24.0,53,304,16384,8,57243.06088867188,0.0,1.0,7,0.007008291315287352,0.05526900291442871,0.001,0.999023973941803
-517.24185,24.0,53,342,18432,9,55136.73767089844,0.0,1.0,8,0.0069906520657241344,0.05990222841501236,0.001,1.0030251741409302
-519.7762299999999,24.0,53,380,20480,10,51602.10458984375,0.0,1.0,9,0.0065733687952160835,0.03964529186487198,0.001,0.9946035742759705
-515.85504,24.0,53,418,22528,11,50471.50051269531,1.1920928955078125e-07,1.0,10,0.006333993747830391,0.05965915322303772,0.001,0.9737425446510315
-505.06975,24.0,53,455,24576,12,47354.86928710937,0.0,1.0,11,0.007163250353187323,0.057834919542074203,0.001,1.0025391578674316
-505.60997000000003,24.0,53,494,26624,13,43508.73403320312,0.0,1.0,12,0.006270240060985088,0.04848004877567291,0.001,1.009156346321106
-499.17490999999995,24.0,53,532,28672,14,42134.75732421875,1.7881393432617188e-07,1.0,13,0.007044054102152586,0.053619563579559326,0.001,1.0083367824554443
-498.44975000000005,24.0,53,569,30720,15,38837.09326171875,1.1920928955078125e-07,1.0,14,0.005968645680695772,0.04146195948123932,0.001,1.0066336393356323
-494.3114699999999,24.0,53,607,32768,16,37853.79736328125,0.0,1.0,15,0.0065212128683924675,0.07144162058830261,0.001,1.0030163526535034
-488.49060999999995,24.0,54,644,34816,17,35312.02125244141,5.960464477539063e-08,1.0,16,0.006739193573594093,0.06914330273866653,0.001,1.0103965997695923
-490.7345,24.0,54,682,36864,18,33033.77061767578,0.0,1.0,17,0.007007825654000044,0.06541675329208374,0.001,1.0059738159179688
-486.82295,24.0,53,721,38912,19,32617.57216796875,5.960464477539063e-08,1.0,18,0.006330500822514296,0.05929500609636307,0.001,1.005416750907898
-486.5322000000001,24.0,53,763,40960,20,30452.238671875,0.0,1.0,19,0.007041120436042547,0.05565071851015091,0.001,1.0154656171798706
-475.25955,24.0,53,801,43008,21,29386.875854492188,0.0,1.0,20,0.007948401384055614,0.055366721004247665,0.001,1.0178035497665405
-475.2234,24.0,53,840,45056,22,26649.553491210936,0.0,1.0,21,0.0074436841532588005,0.06261604279279709,0.001,1.0147467851638794
-474.20583999999997,24.0,53,879,47104,23,25908.95050048828,0.0,1.0,22,0.007407910656183958,0.051996052265167236,0.001,1.0093022584915161
-477.37801,24.0,53,918,49152,24,25076.53048095703,0.0,1.0,23,0.006729634013026953,0.058229632675647736,0.001,0.9944255352020264
-474.36359,24.0,53,956,51200,25,24475.86573486328,5.960464477539063e-08,1.0,24,0.006270298734307289,0.06011100113391876,0.001,0.9830661416053772
-460.82917999999995,24.0,53,994,53248,26,23277.045751953126,0.0,1.0,25,0.005765159614384174,0.06155572459101677,0.001,0.997622549533844
-456.19716999999997,24.0,53,1033,55296,27,21422.080480957033,1.7881393432617188e-06,1.0,26,0.005504047963768244,0.05015450716018677,0.001,0.9810306429862976
-450.62260000000003,24.0,53,1071,57344,28,20252.09326171875,2.086162567138672e-06,1.0,27,0.006328097078949213,0.0458998903632164,0.001,0.9892258048057556
-449.24879,24.0,53,1110,59392,29,19239.301043701173,2.3245811462402344e-06,1.0,28,0.005929699633270502,0.05069771781563759,0.001,0.9906536340713501
-439.3900099999999,24.0,53,1148,61440,30,18801.930932617186,2.4437904357910156e-06,1.0,29,0.006660203915089369,0.06536243110895157,0.001,0.9951491951942444
-434.6366699999999,24.0,53,1186,63488,31,17405.854272460936,2.1457672119140625e-06,1.0,30,0.007930719293653965,0.04045318812131882,0.001,1.0025084018707275
-415.3252800000001,24.0,53,1225,65536,32,16841.71978149414,2.4437904357910156e-06,1.0,31,0.006957572419196367,0.055845119059085846,0.001,0.9916998147964478
-405.6998499999999,24.0,53,1263,67584,33,15162.040380859375,3.5762786865234375e-06,1.0,32,0.005970333237200975,0.0551709420979023,0.001,0.9909543991088867
-394.18883999999997,24.0,53,1301,69632,34,13767.634869384765,1.1563301086425781e-05,1.0,33,0.006871820893138647,0.04639210179448128,0.001,1.0012160539627075
-376.19931,24.0,53,1339,71680,35,10345.314508056641,0.1551302671432495,1.0,34,0.0070218173786997795,0.04894605651497841,0.001,1.007845401763916
-374.67202,24.0,53,1379,73728,36,7168.334219360351,0.4311447739601135,1.0,35,0.007559616584330797,0.0667482540011406,0.001,1.0132367610931396
-365.26359,24.0,53,1417,75776,37,5924.99548034668,0.5541058778762817,1.0,36,0.007317523472011089,0.05732175335288048,0.001,1.0351200103759766
-341.34782999999993,24.0,53,1455,77824,38,4114.799154663086,0.6782712340354919,1.0,37,0.009017922915518284,0.07410928606987,0.001,1.033194899559021
-334.57077000000004,24.0,53,1494,79872,39,2912.7647369384767,0.7440536916255951,1.0,38,0.007559449877589941,0.05883181840181351,0.001,1.0107113122940063
-312.62278000000003,24.0,53,1533,81920,40,2866.6486679077148,0.7486735284328461,1.0,39,0.007794706150889397,0.07117942720651627,0.001,1.0050102472305298
-284.44763,24.0,53,1571,83968,41,2068.3209465026857,0.78092460334301,1.0,40,0.008126999251544476,0.0743144154548645,0.001,1.0163719654083252
-248.96657,24.0,53,1610,86016,42,1579.9973182678223,0.7982635647058487,1.0,41,0.007698969449847937,0.06241250038146973,0.001,1.00912606716156
-217.4307,24.0,53,1649,88064,43,1208.2395393371582,0.7879031747579575,1.0,42,0.007628310937434435,0.06822096556425095,0.001,1.0024774074554443
-180.40566,24.0,53,1687,90112,44,948.397046661377,0.8470035940408707,1.0,43,0.008030342869460583,0.09490416198968887,0.001,1.0083168745040894
-164.89071,24.0,53,1726,92160,45,976.514368057251,0.7948049753904343,1.0,44,0.007253423798829317,0.042410217225551605,0.001,1.0087342262268066
-137.45648,24.0,53,1764,94208,46,880.9373443603515,0.7836045473814011,1.0,45,0.00798793975263834,0.09201416373252869,0.001,1.0046900510787964
