time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/is_line_search_success,train/kl_divergence_loss,train/learning_rate,train/policy_objective,train/explained_variance,train/n_updates,train/std,train/value_loss
2048,24.0,-539.3042235294118,1,36,56,,,,,,,,
4096,24.0,-539.0214400000001,2,74,54,1.0,0.00541654834523797,0.001,0.04734737053513527,-0.0007724761962890625,1,0.9988271594047546,76624.62475585938
6144,24.0,-535.39418,3,112,54,1.0,0.006058619823306799,0.001,0.04506398364901543,0.0,2,1.0064457654953003,74116.79060058594
8192,24.0,-534.2167099999999,4,150,54,1.0,0.006758376955986023,0.001,0.05351598188281059,-1.1920928955078125e-07,3,1.0270884037017822,70416.07795410157
10240,24.0,-534.62347,5,187,54,1.0,0.006983095780014992,0.001,0.06301119923591614,1.7881393432617188e-07,4,1.0222606658935547,67293.18298339844
12288,24.0,-534.43268,6,225,54,1.0,0.007248279172927141,0.001,0.03974989801645279,0.0,5,1.0008779764175415,64634.134985351564
14336,24.0,-531.45004,7,263,54,1.0,0.005627174861729145,0.001,0.04221236705780029,-1.1920928955078125e-07,6,0.9902628064155579,62156.801025390625
16384,24.0,-526.11877,8,300,54,1.0,0.00746120186522603,0.001,0.037560902535915375,0.0,7,0.9895219206809998,59282.769360351565
18432,24.0,-517.09478,9,336,54,1.0,0.007830459624528885,0.001,0.05822902172803879,-2.384185791015625e-07,8,0.990273654460907,55331.05578613281
20480,24.0,-515.48734,10,374,54,1.0,0.007847407832741737,0.001,0.045038558542728424,0.0,9,0.9866233468055725,51674.87390136719
22528,24.0,-498.22276,11,411,54,1.0,0.007937967777252197,0.001,0.061324186623096466,0.0,10,0.9779168963432312,49344.65654296875
24576,24.0,-479.5469700000001,12,448,54,1.0,0.007631367072463036,0.001,0.049372438341379166,-2.384185791015625e-07,11,0.9858950972557068,43929.77680664063
26624,24.0,-475.8576700000001,13,485,54,1.0,0.005900033283978701,0.001,0.04847834259271622,0.0,12,1.0150202512741089,38955.64306640625
28672,24.0,-469.06192000000004,14,523,54,1.0,0.007833496667444706,0.001,0.051818836480379105,0.0,13,1.0201994180679321,37204.865197753905
30720,24.0,-468.0892,15,561,54,1.0,0.007861210964620113,0.001,0.0453769750893116,1.7881393432617188e-07,14,1.0216482877731323,34779.31627197265
32768,24.0,-455.8004700000001,16,598,54,1.0,0.0075898622162640095,0.001,0.04542730003595352,1.1920928955078125e-07,15,1.0260354280471802,33346.213317871094
34816,24.0,-442.59261999999995,17,636,54,1.0,0.007872023619711399,0.001,0.04699069634079933,7.152557373046875e-07,16,1.0198683738708496,30239.60224609375
36864,24.0,-444.577,18,673,54,1.0,0.007546940818428993,0.001,0.05468618869781494,3.039836883544922e-06,17,1.0154168605804443,27055.93927001953
38912,24.0,-428.1274500000001,19,711,54,1.0,0.006747129838913679,0.001,0.04016059637069702,3.0994415283203125e-06,18,1.0286431312561035,26824.46993408203
40960,24.0,-412.14732999999995,20,748,54,1.0,0.007484465837478638,0.001,0.06035667285323143,4.887580871582031e-06,19,1.008622646331787,23399.93349609375
43008,24.0,-406.93552999999997,21,786,54,1.0,0.005900728516280651,0.001,0.042168982326984406,5.364418029785156e-06,20,1.0272526741027832,20608.048181152342
45056,24.0,-415.00370000000004,22,824,54,1.0,0.007681375369429588,0.001,0.05123753845691681,5.7220458984375e-06,21,1.028719186782837,19843.0224609375
47104,24.0,-408.13136999999995,23,860,54,1.0,0.006656125653535128,0.001,0.06081210821866989,4.112720489501953e-06,22,1.047209620475769,20328.41033935547
49152,24.0,-410.84621999999996,24,899,54,1.0,0.006945345085114241,0.001,0.03653037175536156,5.245208740234375e-06,23,1.0566260814666748,18654.10315551758
51200,24.0,-395.96928,25,937,54,1.0,0.006979037541896105,0.001,0.05630224570631981,4.351139068603516e-06,24,1.0688449144363403,18791.533959960936
53248,24.0,-377.27554000000003,26,975,54,1.0,0.0077709536999464035,0.001,0.06029057502746582,5.7220458984375e-06,25,1.0597096681594849,16315.242919921875
55296,24.0,-359.55835,27,1013,54,1.0,0.005843845196068287,0.001,0.04606543481349945,7.62939453125e-06,26,1.047292947769165,14407.728930664063
57344,24.0,-341.89195000000007,28,1051,54,1.0,0.006675513461232185,0.001,0.06262877583503723,1.9371509552001953e-05,27,1.0739210844039917,12759.600341796875
59392,24.0,-333.60013,29,1088,54,1.0,0.006571392994374037,0.001,0.054358601570129395,0.03547382354736328,28,1.0783817768096924,11016.316101074219
61440,24.0,-324.58452,30,1125,54,1.0,0.0064711617305874825,0.001,0.059007834643125534,0.044439852237701416,29,1.0831574201583862,10724.512261962891
63488,24.0,-311.04812,31,1165,54,1.0,0.006358541548252106,0.001,0.04976100102066994,0.04992431402206421,30,1.0711075067520142,9875.30509033203
65536,24.0,-292.17885,32,1204,54,1.0,0.007689496967941523,0.001,0.06090886518359184,0.054538071155548096,31,1.0592402219772339,9201.156921386719
67584,24.0,-259.39662000000004,33,1242,54,1.0,0.007423126604408026,0.001,0.04330028221011162,0.0604780912399292,32,1.0706787109375,8101.83095703125
69632,24.0,-228.50215,34,1281,54,1.0,0.00903333816677332,0.001,0.06320153176784515,0.1211974024772644,33,1.067695140838623,6288.127548217773
71680,24.0,-184.45531000000003,35,1320,54,1.0,0.006890262942761183,0.001,0.057119809091091156,0.36361974477767944,34,1.062576174736023,3775.442010498047
73728,24.0,-147.3244,36,1358,54,1.0,0.008385405875742435,0.001,0.07011789083480835,0.5498722493648529,35,1.066071629524231,2085.2217376708986
75776,24.0,-114.01227999999999,37,1396,54,1.0,0.007736388128250837,0.001,0.08292371779680252,0.7759648859500885,36,1.060649037361145,941.4683006286621
77824,24.0,-78.99439,38,1434,54,1.0,0.008685275912284851,0.001,0.09591956436634064,0.7692949771881104,37,1.0649187564849854,677.1371143341064
79872,24.0,-54.89062,39,1472,54,1.0,0.008171864785254002,0.001,0.08152928203344345,0.6945216953754425,38,1.0847026109695435,451.42145042419435
81920,24.0,-26.24834,40,1511,54,1.0,0.008485672064125538,0.001,0.08833609521389008,0.8109685629606247,39,1.0740407705307007,398.85178899765015
83968,24.0,1.8920100000000002,41,1549,54,1.0,0.007883026264607906,0.001,0.08879135549068451,0.8419175446033478,40,1.0594935417175293,431.6206878662109
86016,24.0,25.64877,42,1588,54,1.0,0.007805220317095518,0.001,0.07425746321678162,0.8016746044158936,41,1.0504933595657349,601.0668298721314
88064,24.0,49.04766000000001,43,1627,54,1.0,0.007501218933612108,0.001,0.0971762090921402,0.7731889635324478,42,1.0742942094802856,772.0757724761963
90112,24.0,71.16084,44,1665,54,1.0,0.007789269555360079,0.001,0.07405394315719604,0.7622298300266266,43,1.0794998407363892,691.0907936096191
92160,24.0,90.83218000000001,45,1703,54,1.0,0.00786701962351799,0.001,0.07605648785829544,0.8310920596122742,44,1.069766640663147,698.8954029083252
94208,24.0,103.13475,46,1742,54,1.0,0.00757626723498106,0.001,0.06828241795301437,0.8200793266296387,45,1.059969425201416,608.0627893447876
96256,24.0,111.29179000000002,47,1781,54,1.0,0.008086632937192917,0.001,0.07829108089208603,0.8673139214515686,46,1.069404125213623,659.4806201934814
98304,24.0,116.96155,48,1818,54,1.0,0.007967510260641575,0.001,0.07405781000852585,0.8787288218736649,47,1.068345546722412,508.05999393463134
100352,24.0,119.10466000000001,49,1855,54,1.0,0.007777717430144548,0.001,0.05945901572704315,0.9102674424648285,48,1.0576869249343872,478.5970415115356
102400,24.0,124.56004000000001,50,1893,54,1.0,0.007775547914206982,0.001,0.07193516939878464,0.9313993081450462,49,1.0507994890213013,401.13372764587405
104448,24.0,128.0317,51,1931,54,1.0,0.0076555353589355946,0.001,0.06884454935789108,0.9314275309443474,50,1.0424071550369263,419.1331483840942
106496,24.0,129.63031999999998,52,1969,54,1.0,0.007755649276077747,0.001,0.054741185158491135,0.9415855668485165,51,1.0287480354309082,361.4687208175659
108544,24.0,134.0366,53,2007,54,1.0,0.0072786943055689335,0.001,0.0634237676858902,0.9551943875849247,52,1.0328469276428223,330.498074054718
110592,24.0,139.51318,54,2045,54,1.0,0.007589615415781736,0.001,0.08263504505157471,0.9592866152524948,53,1.0469342470169067,278.94708919525146
112640,24.0,144.27477,55,2083,54,1.0,0.0068808491341769695,0.001,0.06598710268735886,0.95591951161623,54,1.0551413297653198,308.86092920303344
114688,24.0,147.25411999999997,56,2120,54,1.0,0.007497678976505995,0.001,0.051509447395801544,0.9592789895832539,55,1.0754777193069458,309.99240856170655
116736,24.0,151.97453,57,2157,54,1.0,0.007495816331356764,0.001,0.05955326557159424,0.9622626416385174,56,1.0499815940856934,307.9743417739868
118784,24.0,153.70693,58,2195,54,1.0,0.007132551167160273,0.001,0.05563502758741379,0.9620497338473797,57,1.0513403415679932,294.21095037460327
120832,24.0,158.91885,59,2232,54,1.0,0.00807888712733984,0.001,0.07461206614971161,0.9653279557824135,58,1.053514003753662,305.2905155181885
122880,24.0,162.85998999999998,60,2270,54,1.0,0.00804383959621191,0.001,0.05554300546646118,0.9616904109716415,59,1.0606549978256226,291.3613995552063
124928,24.0,171.49093999999997,61,2307,54,1.0,0.008105390705168247,0.001,0.08206155896186829,0.9647573120892048,60,1.0668106079101562,284.745352935791
126976,24.0,175.95723999999998,62,2344,54,1.0,0.007967247627675533,0.001,0.06240091472864151,0.9679527543485165,61,1.0597463846206665,303.80527381896974
129024,24.0,180.14000999999996,63,2382,54,1.0,0.008176988922059536,0.001,0.064899742603302,0.9668567180633545,62,1.062228798866272,292.5163035392761
131072,24.0,184.37631999999996,64,2419,54,1.0,0.006067438516765833,0.001,0.03965765982866287,0.9694245345890522,63,1.0590616464614868,289.58096809387206
133120,24.0,188.55426,65,2457,54,1.0,0.008009206503629684,0.001,0.07110098004341125,0.970919243991375,64,1.0533552169799805,267.21774225234986
135168,24.0,194.77154,66,2495,54,1.0,0.008187432773411274,0.001,0.06981393694877625,0.9691077377647161,65,1.0598458051681519,278.47183933258054
137216,24.0,201.31489,67,2533,54,1.0,0.007765287067741156,0.001,0.07871939241886139,0.9686632640659809,66,1.0603805780410767,291.531050491333
139264,24.0,206.75280999999998,68,2571,54,1.0,0.008926198817789555,0.001,0.06562754511833191,0.968592181801796,67,1.073614478111267,291.50757150650026
141312,24.0,218.16236999999998,69,2609,54,1.0,0.00827486626803875,0.001,0.24483230710029602,0.9707031324505806,68,1.0800420045852661,283.93803272247317
143360,24.0,224.90147000000002,70,2647,54,1.0,0.008119897916913033,0.001,0.0693419799208641,0.9720425195991993,69,1.093672752380371,274.80452547073367
145408,24.0,230.82632999999998,71,2684,54,1.0,0.008197986520826817,0.001,0.053549304604530334,0.9696615096181631,70,1.1045253276824951,298.88854522705077
147456,24.0,236.17485,72,2722,54,1.0,0.007975224405527115,0.001,0.07454171776771545,0.9664118103682995,71,1.0934065580368042,297.8752485275269
149504,24.0,241.15305,73,2759,54,1.0,0.007998455315828323,0.001,0.0993231013417244,0.971677340567112,72,1.0934481620788574,288.2830328941345
151552,24.0,246.39267999999996,74,2797,54,1.0,0.00890567060559988,0.001,0.06366082280874252,0.9752410817891359,73,1.106857180595398,276.8748272895813
153600,24.0,251.74782,75,2834,54,1.0,0.00880785845220089,0.001,0.07228061556816101,0.9760806541889906,74,1.1035276651382446,264.14387264251707
155648,24.0,261.24171,76,2872,54,1.0,0.009092690423130989,0.001,0.07255439460277557,0.9759484846144915,75,1.1034138202667236,258.23802042007446
157696,24.0,268.84164999999996,77,2910,54,1.0,0.007205222267657518,0.001,0.08578939735889435,0.97803845256567,76,1.095390796661377,260.1863189697266
159744,24.0,278.59479,78,2947,54,1.0,0.008920486085116863,0.001,0.08575941622257233,0.9776475857943296,77,1.091838002204895,261.7398874282837
161792,24.0,282.58675,79,2985,54,1.0,0.00943209882825613,0.001,0.13010600209236145,0.9753253720700741,78,1.1005308628082275,263.8094200134277
163840,24.0,289.92575,80,3023,54,1.0,0.009329603053629398,0.001,0.06613656133413315,0.9767322111874819,79,1.098207712173462,258.59911460876464
165888,24.0,303.19019000000003,81,3060,54,1.0,0.009336930699646473,0.001,0.062211353331804276,0.9788795001804829,80,1.1017370223999023,251.79407939910888
167936,24.0,310.8281,82,3098,54,1.0,0.008954203687608242,0.001,0.06363748759031296,0.9772934466600418,81,1.10112726688385,258.45185298919677
169984,24.0,318.31439,83,3135,54,1.0,0.009154630824923515,0.001,0.07118752598762512,0.9785927888005972,82,1.0970683097839355,244.96666665077208
172032,24.0,326.07111999999995,84,3172,54,1.0,0.008363737724721432,0.001,0.08070829510688782,0.9785649068653584,83,1.1052520275115967,252.18283166885377
174080,24.0,335.40882999999997,85,3210,54,1.0,0.008562985807657242,0.001,0.08409606665372849,0.9808510690927505,84,1.1022969484329224,248.02341165542603
176128,24.0,342.35720000000003,86,3247,54,1.0,0.009893905371427536,0.001,0.06195951998233795,0.980317659676075,85,1.0999183654785156,263.3459661483765
178176,24.0,348.71126999999996,87,3285,54,1.0,0.007280877325683832,0.001,0.06492049992084503,0.9800094589591026,86,1.0973429679870605,249.50090246200563
180224,24.0,357.46387000000004,88,3322,54,1.0,0.006714462768286467,0.001,0.054672230035066605,0.9806083180010319,87,1.0968180894851685,241.26580715179443
182272,24.0,359.0066900000001,89,3360,54,1.0,0.008441789075732231,0.001,0.059882983565330505,0.9782326892018318,88,1.097542643547058,238.58604650497438
184320,24.0,364.4879700000001,90,3397,54,1.0,0.008779349736869335,0.001,0.04800669103860855,0.9819974657148123,89,1.095306634902954,250.44570903778077
186368,24.0,375.69124000000005,91,3434,54,1.0,0.008623707108199596,0.001,0.06776425987482071,0.9832731373608112,90,1.0966126918792725,222.600435256958
188416,24.0,379.9863199999999,92,3472,54,1.0,0.009344351477921009,0.001,0.04404009133577347,0.9804938565939665,91,1.0963820219039917,230.713135433197
190464,24.0,385.77327999999994,93,3510,54,1.0,0.008873886428773403,0.001,0.06366118043661118,0.9833714012056589,92,1.0974000692367554,236.20622711181642
192512,24.0,394.51914000000005,94,3547,54,1.0,0.0096023790538311,0.001,0.05866490304470062,0.9834956806153059,93,1.0991296768188477,228.1367847919464
194560,24.0,400.51334,95,3585,54,1.0,0.007017694879323244,0.001,0.0814637765288353,0.9827040042728186,94,1.098182201385498,255.02081203460693
196608,24.0,409.27164000000005,96,3624,54,1.0,0.006825900170952082,0.001,0.05383656919002533,0.9806816279888153,95,1.0984092950820923,265.06487703323364
198656,24.0,414.74363,97,3663,54,1.0,0.006770035717636347,0.001,0.041925098747015,0.9837130401283503,96,1.097864031791687,265.04871892929077
200704,24.0,421.4611499999999,98,3701,54,1.0,0.008532174862921238,0.001,0.10830323398113251,0.9827459789812565,97,1.0971049070358276,259.0941614151001
202752,24.0,431.84678,99,3739,54,1.0,0.009469985961914062,0.001,0.0687481164932251,0.9820586573332548,98,1.0921562910079956,256.94478073120115
204800,24.0,442.1754900000001,100,3777,54,1.0,0.009993515908718109,0.001,0.05891899764537811,0.984323164448142,99,1.092169165611267,264.26227283477783
206848,24.0,449.51947,101,3816,54,1.0,0.008830880746245384,0.001,0.05970633774995804,0.9826714247465134,100,1.0937024354934692,290.5849670410156
208896,24.0,457.1975,102,3854,54,1.0,0.008363029919564724,0.001,0.048372939229011536,0.9803057704120874,101,1.0943515300750732,296.49590892791747
210944,24.0,462.16830999999996,103,3892,54,1.0,0.009025965817272663,0.001,0.08181874454021454,0.9824017342180014,102,1.0936051607131958,301.47147159576417
212992,24.0,467.0302799999999,104,3931,54,1.0,0.008433510549366474,0.001,0.06295962631702423,0.9823921956121922,103,1.095922589302063,301.4289089202881
